,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,ETC,XMR,NEO,DASH,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0230383324868171,-0.107082012312123,0.249307563167188,0,0.10650309526891,0.174630706348628,0,0,0,0.0236765097984729,0.25778676563111,0,0.00447806813833141,0.0130110267955964,0,0,0,0,0.0746761067102582
ETH,0,0,0.0766308988821868,0,0.205108704459217,0.0184770541398693,0,0,0.014393247032626,0.128168999500524,0.108151418644703,0.110783590593294,0.123393983554132,0,0.0839224097208099,0,0,0,0,0.0629150079329298
XRP,0,0.327735051037651,0,0,0,0,0.157728040003414,0,0.199078210523256,0.0244890292991437,0.0454761882361094,0,0,0,0.0138033188172042,0,-0.16704469427855,0,0,0.0643174864955686
BCH,0.285477752182546,0,0,0,0.0998641860200722,0,0,0.0376032500045891,0.0337757124175823,0.273895500905459,0.0654018843769553,0.247084089917878,0,0,0,0,0,0,0,0
EOS,0,0.165929266899252,0,0,0,0,0.241822546640111,0.376235608597697,0.120292950281422,0.156331210718728,0,0,0.0296453545236565,0.120397792520186,0.265132729684852,0,0,0,0,0.136396774651838
XLM,0.0451294693825534,0,0,0,0,0,0,0.278945409167349,0,0.14581710252388,0,0.205755292209625,0.137822483762803,0.351897361421753,0,0,0,0,0,0
LTC,0.108391088414747,0,0.0708875661277863,0.073185846745755,0.146533345871368,0,0,0.310329921801556,0,0,0.202121696888677,0,0.107199508928831,0,0,0,0,0,0,0.105644317424144
ADA,0,0,0,0.0776108220449852,0,0.377049443968803,0,0,0,0.321930951355925,0.0648134086990624,0,0,0,0.0239189801693966,0,0,0,0,-0.0280461152451953
MIOTA,0.112253792807913,0,0.757314916607269,0,-0.0751620683541121,0.368513756710711,0,-0.311382132611154,0,-4.33680868994202e-19,-0.0632903909610806,1.38777878078145e-17,0.660649981174521,0,0,0,0,0,0,0.0972730956338703
TRX,0,0.122028469235887,0,0.216131776568628,0.350880737043027,0,0,0.0558447894731991,-0.0328340537459232,0,-0.0332427447971365,0,0.130219486742721,0,0.10927283817597,0,0,0,0,-0.0212329765180852
ETC,0.698233914974149,0.631518763114128,0.409046682154612,-0.0436255932234997,0,0.0911263684083739,-0.128189049269429,0,0.276750137843542,-0.209077004293725,0,-0.194170501140013,0,-0.383705667686563,0.0133871538591523,0,0.182070144185395,0,0,-0.135037702310265
XMR,0,0,0,0.456471910533004,0,0.159064930403661,0.142571412875193,0,0.0193551489834481,0,0.114921755160748,0,0.159664600131541,0,0,0,0,0,0,0
NEO,0,0.289279684256252,0,0,0,0,0,0,0.412192423734874,0.0736574515520157,-0.124672660316133,-0.144449539820648,0,0.455629102527431,0.0642779163653546,0,0,0,0,0.0686055714927731
DASH,0,0,0,0,0,0.0255760052549081,0,0.308619253362521,0.0247450953677557,0,0.10295789890066,0.132063980788409,0.105394126801502,0,0,0,0,0,0,0
BNB,0,0.532176947460055,0,0,-0.118977876094971,0,0,0.184648136742282,0,0.00693249173074401,0,0,0.126832309075124,0,0,0,-0.0407433782624903,0,0,0.11251744927598
BV010082.Index,0,0,-0.0437098279886039,0.0549631667347974,0.0151464877409185,0.0224153894795591,0,0.03990370465796,-0.0566085224481672,0.02584269874301,-0.0324097162160541,0.0222563113164993,0,-0.011380886140496,-0.0377090959718585,0,-0.19621102639697,0,0,-0.0290568262790596
CVIX.Index,0,0.032315153148222,0,0,0,0.00515777981527932,0,-0.0350787367786521,-0.128098856689458,0,0.0348323963857671,0.0493334998244466,0.158792639487904,0,0.105170108653957,-0.613555753705264,0,0,0,0.0950549066681979
DXY.Curncy,0,-0.0450979037188255,-0.0249838223556877,0,2.16840434497101e-19,0,0,-0.0230812380540914,-0.00260347141495749,0.0134037170437624,0.0295633034626205,0.0333460980062711,0,0,0.00837655783377564,0,0.123110437660841,0,0,0.00287387881076735
SPX.Index,0,0,0,0,-0.0108527665950944,0,0,0.0109793979613683,-0.0113078970985122,0,0.00410172979946737,0,0,0,0,0,0.0398943823391145,-0.0741248644099242,0,-0.0652845384292445
VIX.Index,0,0.708197273726796,-0.64583012132513,0,-0.0295170416019866,-0.0335537755143464,-0.107160459437165,0,-0.167192497249651,0,0,0,0.0468074441137249,0,-0.227895597627136,0,0,0,-4.57506924933707,0
