,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,ADA,XLM,TRX,XMR,DASH,MIOTA,ATOM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.103797899980393,0.0192601389247583,0.172138871982083,0.0224820453185257,0,0,0,0,-0.00343220801847065,0.442907852350852,0.117043034078377,0,-0.0274154851082857,0,0.00443222287537711,0,0,0.119747612372646
ETH,0.296625670100848,0,0.0731093424405341,0,0.0654700417954814,0,0,0.0320828780259198,0.231000822346566,0.0955307420515718,-0.0488888881688767,0.18440822638591,0,0,0,0,-0.0172175948640161,0,0,0
XRP,0,0,0,0.128315489856339,0,0.143219580147127,0,0.0191294532635058,0,0.00489598112400656,0.214443941096359,0.293308585065463,0,0.140275184706132,0.00559256120280004,0,0,0,0,0.0205668340077797
LTC,0.0855468795161932,-0.00439494654244121,0.0839492842803154,0,0.107012863232286,0.370620220791222,0,0.0365878008538508,0,0,0,0.272220839358358,0,0.0053285823098253,0.00116408986155828,0,0,0,0,0
BCH,0.554837775356239,0,0,0.227760411418849,0,0.0978480524146285,0,0.0836550378192734,0.186824088605576,0,0,0,0,-0.136257464345443,0.0254069676116759,0,-0.0761633717182089,0,0,0
EOS,0.146612115529789,0.385440020532588,0,0.25504983212252,0.222825954096287,0,0,-0.113046858805317,0,0,0,0,0,0.17833040157026,0.0228702799593728,0.453672711824377,0,0,0,0
BNB,-0.565307703243396,0,0,0,0.280411192293274,-0.0698314729880171,0,-0.00406010020477585,0.157827827323045,0,0,0,0.315912627027047,0.171586457179331,0.068389384046843,0,-0.0489858415182095,0,0,-0.0919148125046619
BSV,0.440049781219178,0.0907994670223267,-0.258896539118307,0.228344093210055,-0.62836170665245,0.163686964148961,0,0,0,0,0,0,0.825728381211684,0.283610408355128,0.106238296137016,-0.358523644323432,-0.724566172933156,0,0,0
ADA,0,0.11309204996586,0.226064858350702,0.245649371398384,0.165259005021875,0,0,0,0,0.118352240445135,0.0116001592029675,-1.38777878078145e-17,0,0.02174761907333,0.024459826663866,0,0,0,0,0
XLM,0,0.0754211154220722,0.430663237695203,0,0.102577151607218,0.000615874684116668,-0.104973077763565,0.014450598172698,0.139784464863038,0,0,0,0.130181121573224,0,0.0633777585488682,0,0,0,0,0
TRX,0.0129280576158827,0.132409225437014,0,0,-1.73472347597681e-18,0.196308450888385,0,-0.0313782853591692,0.223648658358189,0,0,0.214266456473211,0.0586753587197442,0.195168207357416,0.0500001186012234,0.121573067230873,0,0,0,0.194475951344977
XMR,0.429926760519161,0,0.102403224111174,0.124779558676214,0,0,0.109611606173155,0.0190365127606958,0.200498167560291,0,0,0,0.0767089819829565,0,0.0268575371749657,0,0,0,0,0
DASH,0.152123991938343,0,0,0,0,0.0825960556990945,0.0571522419368431,0,0.0742276807612713,0.252072169715046,0,0.0138321322394569,0,0.164545511772603,0,0.131791203653252,0.0428508487621163,0,0,0.0236410664581306
MIOTA,0.0845616994969098,-0.136686466543337,0,-0.0878405391147661,-0.0752142847275929,0.21999036295781,0.214555940471173,0.0648380186839122,0.0890168659581116,0.0105565620030182,0,0.551093498911179,0,0,-0.0201560901354975,0,0,0,0,-0.0510008619833817
ATOM,-0.684309421962676,-0.217894110314251,0.297439733993943,-3.46944695195361e-18,0.406278450979829,0.48961973457901,0.347195578072241,0,-0.665063061881033,0.393747299177479,0.187274227330149,0.795550409216443,0,-0.501755646983722,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0542368425715299,0,0.0756259742094937,0,0,0,-0.0561616180613998,-0.170450627962796,0,0.115227441154936,0.247663752270885,0.124625658940946,0,0.0224005946295157,0,0,-0.0900594322923178
CVIX.Index,0,-0.220306356479334,0.383608137233418,0.517382345866255,-0.246414541489183,0,-0.00636820571384781,-0.0323740311158587,-0.412457153593807,0,0.344579702874501,0,0.295801527795056,-0.300358515219509,-0.307974730482202,0.120483262132062,0,0,0,0.0629980236921912
DXY.Curncy,0,0.0254208332486697,0.0120376239627337,-0.0119354304702143,0.00436941110649282,0,0,0.0031520235557172,0,0,-0.00505544519533036,-0.0054049820839311,-0.000448054833698394,0,0,0.0301964091323165,0,0,0,0
SPX.Index,-0.00381962548073623,-0.00230620854273892,-0.0238031930016132,0,0,0.0310777074765308,0,-0.00605195720277905,-0.00243250044613451,-0.0188807645796689,0,-0.0194483411094232,0,0.0139129387149722,-0.00874750779864485,0.0343461924510466,0,0,0,-0.0580915726513868
VIX.Index,0,0,0.321464449848241,0,-0.147593899689004,0,0.0757885332130701,0.0554111560623718,0,-0.491660299365089,0.321755239587397,-0.822458296103342,0.362847248528127,0.271089297741569,0.0542803746352829,0,0.360553026116125,0,-6.02819230606608,0
