,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,TRX,ADA,XLM,LEO,XMR,DASH,LINK,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.280489798480903,0,0.0891284865424419,0.304111897406141,0,-0.381996043587117,-2.16840434497101e-19,0,0,0,0.0578649206151318,0.239656636207281,0.218303455504953,-0.110864275218207,0,0,0,0,0.0239163661538007
ETH,0.305556429197615,0,0.196197580194875,0.0862259366880203,0.110940496246992,0,0,0.0163772526558277,0,0.164144386702908,0,0,0,0,0,-0.00950311166529781,0,0,0,0
XRP,0.26326653472043,0,0,0.142253347738439,0,0,0,0.0388544997775371,0.071100937930635,0.113802541276626,0,0.0281021882788461,0.226168744680895,0,0,0,0,0,0,0.0353588867632363
LTC,0,0,0.0873691807088617,0,0.114665645600388,0.41498220120076,0,0.0409227371208704,0.0365816505556989,0,0,0,0.179647626306977,0,-0.106414372491664,0,0,0,0,0
BCH,0.444256594799476,0.0110824385117012,0,0.140635752331734,0,0.18245869594429,0,0.0758459171025193,0,0,0,0.0340353104667985,0,0.0961970218544914,0,0,0,0,0,0
EOS,0,0,0.146554808401763,0.0791882913225763,0.364450364771884,0,-0.0142366787900605,-0.0617949949410801,0.199456756286131,0,0,0.228232975180911,0.218671735320591,0,0.108228200126011,0.426731077711147,-0.194673685027351,0,0,-0.100464292604715
BNB,-0.45362790511311,0,0,0,0,0,0,0.0323695982122354,0.0155654020493969,0,0.00851846492350972,0.0447836218643239,0.333713257355181,0.448452454676424,-0.0190761200249194,0,0,0,0,0
BSV,0.256410285043952,-0.42775016601411,0,0,0,0.368411254630304,0,0,0.327567918754347,0,0,-0.115866763736521,0.0216478246772973,0,0.0354529187609009,0.0671280913194969,-0.0879372545551628,0,0,0.0328934693944208
TRX,0.128094643388753,0,0,-3.46944695195361e-18,-0.227626131467823,0.468427313658461,0.0939030724855137,0.027153812200806,0,0.255780255832751,0,-0.118111195963961,0.296423013002367,0,0.0370012586574909,0,0,0,0,0.158399104679357
ADA,0,0.142764156318389,0,0.218905977261774,0,0.0720869729731785,0,0,0.139570913861615,0,0.0832350315393315,0,0.0949582148296992,0.0931151423926901,-0.0437264407946421,0,0,0,0,0
XLM,0,0.136857452653827,0.253579220683455,0.0873176408247168,0,0,-0.0193745408561721,0,0,0.416882709474987,0,0,0,0,-0.0167126729446806,0,0,0,0,0
LEO,0.0543952168233899,0.0185470744054477,0,0.335633496275323,0,-0.1988053991901,0.351456066798775,0,-0.175978265572319,0.108600405831973,0,0,-0.124965641523206,0,0.0945424650213898,0.0510716921688395,0,0,0,0
XMR,-0.0643582292586664,0,0.279171360648062,0.117697157588671,0,-0.0510584262080044,0.133858381095504,0.0289675038913816,0.304961929461904,0,0,0.0482928059642194,0,0.519765886866387,-0.123966141707089,0.0243896829159305,0,0,0,-0.112454125965672
DASH,0.233164910364158,0,0,0,0,0.141773307433515,0.195398577684636,-0.0115170293547525,0.0313152510354709,0.0992613495747917,0,-0.0393619890476038,0.19389872408295,0,0,0,0,0,0,0.0516231344719396
LINK,0,0,0.446667284041739,0,0,0.516818279426336,0.180994562462122,0.0718682615269071,0.379711077489281,0.751261690358575,0,-0.835447157549978,-1.20870249523664,0,0,0.609252337487191,0,0,0,0.177791425476544
BV010082.Index,-0.0868374593421913,-0.330239361397374,0,0,0,0.216340627378459,0,0.0425480541040372,-0.248000733844194,0.28249592736627,0,-0.168859175851646,-0.425114363366572,0.538230785211446,0.0308604229155457,0,0,0,0,-0.126282593398985
CVIX.Index,-0.316821936120057,0,0.125113098572561,0,0.0231474554873358,0,0.0732902749973179,-0.0213385197939948,0.098404587134662,-0.202174853418453,-0.0431599988358234,0.0651827287166369,0,0.264290275830021,0.021318527928219,0,0,0,-0.219425868672671,0.0799657707458578
DXY.Curncy,-0.00575649790029743,0.00535856975677385,0.0170834822535313,-0.00204082168922583,0,0.00861155471660064,0,0.00193713291772319,-0.0389315038613874,0,0,0,0,0,0.00686072137415207,0.0400447064551952,0,0,-0.0944711432135244,-0.00950740735752109
SPX.Index,0,0,-0.0198237857911435,0,-0.0138894460639108,0.0124467304642227,-0.00843977960956781,-0.000760071922353943,-0.0065297199998457,4.33680868994202e-19,0,0.026143617927817,0,0,0.00578804908263368,0.00422294675544494,0,0,0,-0.0683144490831645
VIX.Index,-0.29315501249421,-0.300687319380219,0.589006967291831,-0.380820566900617,-0.226096581228582,0,-0.48782346120581,0,0.191270964173379,0,-0.249046775608465,0,0,0.729451830002866,0.0932351618694383,-0.371956574813367,0.181814989595208,0,-2.1161801105015,0
