,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XMR,XLM,ADA,TRX,LEO,DASH,LINK,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.370409558996739,0.422496599553763,-0.11819736633551,0,0,0,0.0930098874021378,0.0870651406000036,0,-0.0940857059950599,-0.137226376381258,-0.101911763388557,0.461339200462194,-0.0732878839301723,-0.217253390968385,0,0,0,0
ETH,0.14323864072783,0,0,0.178245843130176,0.0875071638178613,0.148810700765428,0.204303008165169,-0.00218353095321972,0,0,0.104283204265238,-0.14039324567875,-0.145638712659581,0.451869830884403,0,0,0,0,0,-8.67361737988404e-19
XRP,0.134815423040061,0,0,0.286292155678091,0,0,0.200734619005753,0,0,0,0.169700221561326,0.0189909790801598,0,-0.0572545572744816,0,-0.115825157169784,0,0,0,0
BCH,0.1674423522695,0.541504773079578,0,0,0.0143524356040423,8.67361737988404e-19,0.108736466708587,0.216807648207972,-0.00592667512680365,0.0924513260503837,0,-0.144663902683211,-0.0693544237169219,0.153653942493432,0,-0.00634628873007843,0,0,0,0.0588602373683288
LTC,0,0,0,0.241392268693952,0,0,0.297587966401647,0,0,0.169215275615813,0.0810387278578317,0.00363784601431225,0,0.0452694873705641,-0.0216151900854301,0,0,0,0,0.0119721526895269
BNB,-0.0779795438131738,-1.38777878078145e-17,-0.43498388042515,0,0.264374577453095,0,-0.00908467496490945,0,0.338412599243235,0.371769708002547,0,-0.113500586092729,0,0,0.126293891791472,0.206693941028885,0.139455438171311,0,0,0
EOS,0,0.13646046794607,0.269606663818172,0,0.191728350049233,0,0,0.300164518598936,0.132078723508561,0,0,0,0,0.0125807328120371,0,0,0,0,0,0
BSV,-0.128811793528923,-0.245440051588481,0,0.545223578608565,0,0.0272555273946878,-2.77555756156289e-17,0,0.206050897017681,0,0,0.283568819497416,0.178464381371832,0.275947093629109,0.158349292561149,0,0,0,0,0.141128528136069
XMR,-0.0438355059846877,0,0,0,-0.234051983637925,0.42238991332008,0.406959872648413,0,0,0,-0.131188595547,0.248965980008993,0.441560431506106,0.203771280213139,-0.044436257505612,0,-0.048949656888813,0,0,0
XLM,0,0.219833254219117,0,0.161076794587053,0,0,0,0,0.12850762230805,0,0.311415502649654,0,0,0,0,0,0,0,0,0
ADA,0,0.114309279561324,0,0,0.133230058955566,0,0.190410074647232,0,0,0.307091221111584,0,0.181237877656901,0,0,-0.0723955187722023,0,0.118182339385627,0,0,0.013028104746994
TRX,0.174480685187663,0,0,0.0620302749135461,0.184711707846863,0,0,0.156444650826204,0.338116824186165,0,0.30750394021686,0,0,0.0344950358874259,0.0281634451193287,0,0,0,0,0.0801645773965737
LEO,0,-0.064307583456485,0,0.0745013416725116,0.145469721277889,-0.129211303857031,0.114027933314845,0,0.338634843014499,-0.0647095104984537,0,-0.150330203260802,0,0,0.0495934697156203,0.00213203631779782,0,0,0,-0.14499698158148
DASH,0.397867706655986,0.0426550201352551,-0.00894264955008128,-0.0375462888542883,0,0,0,0,0.12855600720821,-0.174591147550973,0,0.428190052165874,0,0,0.0561196358436154,0,0,0,0,0
LINK,0,-0.114137152930598,0,-1.38777878078145e-17,0,0.509957132216418,0.317553134971109,0,-0.0803821277641918,0.150098639096078,0,0,0.598241896218351,0.122459803868523,0,0.0741292885592596,0.216250878656092,0,0,0
BV010082.Index,-0.0735388771568527,-0.428429154816611,0.800914702127733,0,0,0,0,-0.260065102619246,-0.51253543286004,0,0.360132757142667,0,0,0.398206426436071,0.0881894582688935,0,-0.748575925630122,0,0,0.0349346437138328
CVIX.Index,-0.395347146316336,0,0.489499616568898,0,0,0,-0.186507772700134,-0.116953721679538,0.242403578478758,0.0730853252609968,0.137201204204643,-0.202940147737753,0,0.0867457577465172,0.0693223518941191,-0.410868133751189,0,0,0,0.150683645072771
DXY.Curncy,0,-0.0237804247114353,0,0,0.0120229154860593,0.00802095483128486,0,0.0141203549268766,0,0.00720557334286542,0,-0.0248604041817325,0.0121114158818786,0,0.0035703142825531,0.0455023897369508,0,0,0,-3.3881317890172e-21
SPX.Index,-0.0135007997419935,-0.0156755676146573,0,0,0,0.0233860488167933,0,0.0111665126733413,-0.025931864496774,0.0158227894981899,0,-4.33680868994202e-19,0,0.00924335788307221,-0.0030586473304806,0,-0.023328894928707,0,0,-0.0780661111782238
VIX.Index,-0.130043118635029,0,0,0.371904687646619,0.104910923660621,-0.467679673977891,-0.60755774821017,0,-0.209223774579011,0,0.568863529837039,0,-0.188138101880762,0,0.101934334861779,0.404709258423601,0.743912910118149,0,-3.29885318816882,0
