,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XMR,XLM,LEO,ADA,TRX,DASH,LINK,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.372475402998187,0.351274338275018,-0.0559931118700758,0,0,0,0.077939910161554,0.0878821050037002,0,-0.105392232906211,-0.10004312490741,-0.11785558025165,0.442981942249585,-0.0779415593874673,-0.231002570495011,0,0,0,-0.0194856217569966
ETH,0.0662400429157726,0,0,0.218512840802974,0.0631402145758368,0.207360299850109,0.26233314169426,0,0,0,-0.178320311124864,0.064558458541954,-0.0914223311834261,0.298434308861784,0.0603480692710458,0,-0.0593086312055225,0,0,0
XRP,0.111080360896508,0.256763972616593,0,0.0968954312228967,0,0,0.145653494766121,0,0,0,0,0.186922605611792,0,0,-0.00272043070144485,-0.0710294401125995,0,0,0,0.0471848340806115
BCH,0.0615837096618876,0.584609501061932,0,0,-0.0215396181225881,0,0.196244696529562,0.145384273774573,-0.0956358015348192,0.0930287634383504,0,0,-0.0866323037202139,0.251638696550897,0,0,0,0,0,0.0761990239480964
LTC,0,0,0.00588880100050287,0.220641305875617,0,0.0126489438970076,0.286583789111472,0,0,0.132271425879047,0,0.166792530356191,0,0,0,0,0,0,0,0
BNB,0.0468607956777005,0,0,-0.200072404959672,0.467100652469362,0,3.46944695195361e-18,0.227910550314425,0.28917753001676,0,-0.0294232153659085,0,-0.160705533444551,0,-0.0563029895499466,0,0,0,0,0.0727334738831065
EOS,0,0,0.535815991422831,0,0.173359906168438,0,0,0.209574991257188,0.134774411670316,0,0,0,0,0.151666167361825,0,0,0,0,0,-0.00324087232298251
BSV,0,-0.326619555983196,0,0.480541426095123,0.13984560645761,0,0,0,0.172723302098513,0,0.0977486536537379,0.0789506946168401,0.267967346354561,0.291795623361832,0.11319354626686,0,0,0,0,0.0368140349574778
XMR,0,0,0,0,-0.151899455704799,0.344174937932286,0.249972434198268,0,0,0,0.467401511214511,-0.0956860137118311,0.391211120365168,0.163094678522188,-0.084958064398972,0,-0.0726814728369839,0,0,0
XLM,0.110191447630546,0.0937988399764627,0,0.108601152756132,0,0,0,0,0.160856041934766,0,0,0.403523660131963,0,0,0,0,0,0,0,0
LEO,-0.134485271633261,0,0,0.392304337553546,0,-0.0655125742081243,0,-0.0521877297124057,0.165396139424071,-0.0700923060787676,0,0,0,0,0.127614987068805,0.116372535688002,0,0,0,-0.084916176638576
ADA,0,0,0,0,0.118806453192442,0,0.208450298922697,0,0,0.170111690752808,0,0,0.27920139933906,0,0,0,0,0,0,0.0284370770457356
TRX,0,0,0,0.189002756788458,0.35488169191509,0,0,0.0672231803912151,0.0656887057834807,0.201449860829442,0,0.0443825600652332,0,0,0.167063331951227,0,0,0,0,0.0537940005083938
DASH,0.282886589196458,0.180353397720135,-0.0530159330653317,-3.46944695195361e-18,0,0,0,0,0.205064859357071,-0.236656948448882,0,0,0.268584578742493,0,0.127863189899333,0,0,0,0,-0.0770215098203921
LINK,0.147021318759358,-0.346225025579471,0,0,0,0.229523624470593,0,0.0373009620566989,-0.0416559046414726,0.099138644590118,0.576319627133784,0,0,0.667071976715331,0,0,0.0495155735945709,0,0,0.152747284370321
BV010082.Index,0,0,0,0.0731725246291701,0,0,0,0,-0.645191004946904,0,0.287988342155671,0.382094264336127,0.113018789251321,0,0,0,-0.559694562662372,0,0,0
CVIX.Index,-0.442749257491533,0,0,0,0,0,0,-0.184760873038063,0,0,0,0.353152739092665,0,0.173248211523041,0,-0.170824029689339,0,0,0,0
DXY.Curncy,0,-0.0320976675458975,0,0,0.0163987084688011,0.010282580151149,0,0.0166486642819142,0,0.00983497221057922,0.00764906242900422,0,-0.0241849830517035,0,0,0.0446742223386812,0,0,0,-0.00057435521640904
SPX.Index,-0.010863467755656,0,0,0,0,0,0,0,-0.0484388199271547,0,-0.00750333629260239,0,0.0451752926823641,0,0,0.0124808308288083,-0.0247406189022604,0,0,-0.0994714753705596
VIX.Index,-0.180164140503733,0,0.556931786877092,0,0.0300412038778052,-0.0282597607222279,-0.0967715898916313,-0.0198694503632459,-0.454817278296221,0,-0.36200709264489,0.255801695758785,0,0,0.116965687137688,0,0.0614552717740606,0,-7.15415149039759,0
