,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XMR,ADA,XLM,TRX,LEO,HT,DASH,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0526911815471971,0,0.0950186688429832,0,0,0.2441116363827,0,0.262207336134563,-0.081435864995697,0,0,0,0.060607127353313,0.214648120320216,0,0,0,0,0
ETH,0,0,0,0.257929774663614,0.0728868599571201,0.206148097172887,0.238924198399059,0,0,0.0212420524476973,0,0,0,-0.177415152286928,0.356163577736436,-0.0380819920502725,0,0,0,0.00818663738464814
XRP,0,0.382200723575533,0,0,0,0.166486813092972,0,0,0,0.196831916735741,0,0.0643258051796209,0,0,-0.0482110584752212,-0.0306209291704894,0,0,0,0.0522687802211736
BCH,0.0652595803343104,0.569176648630602,0,0,-0.0731574402982205,0.159596833730268,0,0.108044341438793,0,0.107704100960655,0,-0.0169144758916714,-0.0259856395779751,0,0.286949233602678,0.0171599487760186,-0.158084534980913,0,0,0
LTC,0,0,0,0.218273372183089,0,0.289630501121847,0,0,0,0.24661880641173,0.0825086160925144,-3.46944695195361e-18,0,0,0,0.0106270756476069,0,0,0,0.00445435001811039
EOS,0,0.254785417408608,0.416882994079556,0.151121198816119,0.0209491780457058,0,0,0.178328870162744,0,0.156740279344691,0,0,0,0,0.0566001609577446,0,0,0,0,-0.00243643619908751
BNB,0,0,0,0,0,-0.0373997361824048,0,0,0.310339649347675,0,0,8.67361737988404e-19,0,0.0482498550023698,0.44588258576917,0,0,0,0,0.0284650797441068
BSV,0.351642822054043,0,0,0.284778583791828,-0.124887875707852,0.0359873573781707,0,0,0.0685432603262647,0.188201874959421,0.0954854111782892,0.306776975604622,0.0407509175776128,-0.187554781992415,0.119208593648127,0,0,0,0,0.10987680898843
XMR,0.498515236922043,-6.93889390390723e-18,0,0,0,0,0.152658639954763,0,0,0,0,0,0,0,0.417820693843026,0,0,0,0,0
ADA,0,1.38777878078145e-17,0,0,0.111183642976233,0.22328451076189,0,1.73472347597681e-18,0,0,0.206947737358526,0.264060750987311,0,0.017289793545883,0,0,0.0735828219666102,0,0,0.0146135227078732
XLM,0.253182036519342,0,0,0,0,0,0,0.0165296355346163,0.138418533192035,0.320918675785586,0,0,0,0,0,0,0,0,0,0.0159984153561984
TRX,0.233848435041244,1.73472347597681e-18,0,0.163580337713507,0.308306594159055,0,0,0.12861523095726,0,0.165159745987177,0.122921596828286,0,0,0,0,0,0,0,0,0.062012007116743
LEO,0.3061696635669,0,0,0.0768010973867297,-0.107405566690059,0.185803770146698,0,0,0.0882584120244843,0,-0.11295414639648,-0.00295201194755542,0,0,-0.00960303699895541,0.397659169808648,0.0265935253499383,0,0,-0.0875268128146866
HT,0,0,0,0,-0.398031737929894,0.0874088325386347,0.610712233384813,-0.07041252673386,-1.73472347597681e-18,0.14062628420089,0,0.22910268249891,0,0,0.182000139352714,0.130577507125356,0.335666707899189,0,0,-0.03243836016671
DASH,0.0461342959185315,0.350602609662415,0,0,0,0.142768017455409,0,8.67361737988404e-19,0.420065857219822,0,0,0.0122219182256304,0,-0.266197086341615,0,0,0,0,0,0
BV010082.Index,0.0554964179322929,-0.413815892744303,0.505130097433968,0.208064212333135,0.253230343066742,-8.67361737988404e-19,0.151747055392379,0,-0.667191091635278,-0.250950493361312,0,0.254086291260302,0.543700860792324,0.0044728715123325,0,0,-0.445519019687718,0,0,-0.0336740726574125
CVIX.Index,-0.362237286868215,0,0,0,0.352000401795348,0,0,-0.571834352119406,-0.150028550209135,0,0.569494674328681,0.255107570091886,0.101562979588881,0,0,0,0,0,0,0.121028281700899
DXY.Curncy,0.0268388282692652,0,0,0,0.01781948904487,-0.00252137441013422,-0.0160144714213628,0.00220262767232946,-0.0218477510654741,0,0,0,0.010274982554449,0.0124016517504988,-0.0274721291126954,0.0351336142022628,0.00887789023033782,0,0,-0.0047061898380674
SPX.Index,0.0565372880801041,0,0,0.0241746030568596,0.000445915427218141,-0.0157312116412603,0.00223346916930503,0,-0.0288572226167612,0,4.33680868994202e-19,0,-0.051332222127559,0,0,0.104707524318575,0,0,0,-0.0881456870264311
VIX.Index,0.370718094717237,0,0.483515174311586,0,0.300652671501001,-0.664722946959721,-0.277827407539309,0,-0.423730344290493,0.496197964622226,0,-0.0195714053960455,-0.284949642542554,0,0,-0.046261222726957,0.100782012701697,0,-6.43711767819187,0
