,BTC,ETH,XRP,BCH,LTC,EOS,BSV,BNB,XMR,TRX,ADA,XLM,XTZ,LEO,ATOM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0450588973690854,0,0.187339238114272,0,0.273509866756899,0.0372715016647432,0,0,0,0.0866222324363696,0,-0.069411960196994,0,0,0,0,0
ETH,0,0,0,0.101875632665346,0.34808738151507,0,0,0.133451468232305,0.103345221384539,0.0801026508179532,0.107537319569002,0.0669969384112947,0,0,0.0218083211802727,0,0,0,0,0
XRP,0,0.0404975237297808,0,0.142371572055059,0,1.38777878078145e-17,0.147593580088232,0,0.264008384481633,3.46944695195361e-18,0,0.0967202701593878,0.210095338938422,0,0,0,0,0,0,0.186566555594513
BCH,6.93889390390723e-18,0.273838275442266,0,0,0,0,0.188105511831971,0.246144129596598,1.38777878078145e-17,0.204658975178417,-0.129320412737766,0.117388353343524,-0.038934342065892,0,0.103660634057688,0,0,0,0,-0.000377839067939369
LTC,0,0.233112266721107,0.0789579951022102,2.16840434497101e-19,0,0.522693853966309,0.089408299978136,0,0.0215151921773953,0,0,0,0,0,0.0177214877339693,0,0,0,0,0
EOS,0,0.11908197240864,0,0,0.48211559091594,0,0.111211993584035,0.0342928268145262,0.169256181097706,0,0.0984405359837829,0.04069505379871,0.0396837214778311,0,0.0342885561833523,0,0,0,0,0
BSV,0,0,0,1.28456238397004,-0.151981924076011,0,0,0,-0.303909586445976,0.174033735010084,0.566429678763052,-0.805551760451963,0,0,3.46944695195361e-18,0,0.685891139467935,0,0,0.0356430644165994
BNB,0,0.26863221823076,0.0992265643716138,0.128951324886763,0,0.244200496968393,0,0,0.0382548277927959,0.117720345505321,0,0,0.0671242132165836,0,0,0,0,0,0,0
XMR,0,0.0109399893353977,0,0.209497432339451,0.378827392132201,0,-0.167709784492157,0.404222085847782,0,0,0,-0.127842336905222,0.0865377658372019,0,0.0546123353080396,-0.0431398188366889,0.0291356164374598,0,0,-0.0290094985244104
TRX,0.248026769925116,0,0.202434602672491,0.224626930845978,0,0,0,0,0.0258505393242493,0,0.137136056591667,0.256429564297713,-0.117136127708117,0.217407753907834,0.0157150006817039,0.150779650878336,-0.384921950095147,0,0,-0.0450599753155212
ADA,0,0.507542720601545,0.00172757732853588,-0.240226263733874,0,0.0201455899864733,0,0.0204148103089865,0.0343860358529635,0.206721279222925,0,0,0.0436759484692693,0,0.161527392944863,0,0,0,0,0.0230936391532745
XLM,0.192168189923789,1.73472347597681e-18,0.336497253491173,0.0625234305991738,0.0251660581111304,-8.67361737988404e-19,0,0,0,0,0,0,0.06013587740818,0.18487147838323,0.0568645740237869,0,0.086024694962011,0,0,0
XTZ,0,0,0.48537148976485,0,0,0,0,1.19623412700902,0,-0.747999313601487,0,0,0,0,0.0169983682790953,0,0,0,0,-0.190171522240899
LEO,0.420017127256437,0,0,0,0,-0.296642548215558,-0.0212858234202055,0,-0.272762895398096,0.315162447060316,0.0927609576078174,0.123998483959032,0.0604150193724838,0,-0.108545144235372,0,0,0,0,0.0508548420378407
ATOM,0,0,-0.885245051662312,0,0.715539381470188,0,0,0.0717227427050835,0,0.308151259237636,0.390354942549048,0.251256849211787,0.392623224266956,-0.135823088002507,0,0,0,0,0,0.075923080420762
BV010082.Index,0,0,-0.0501364513026573,0,-0.267843055145676,0.123008655807571,0,-0.194050646516785,0,0.352479204050917,0,0.114046669636024,0.100074202000542,0,-0.0809210256902503,0,0.0522447367906153,0,0,-0.0127872832549407
CVIX.Index,0.422572185282615,0,0.0318641232945204,0,0,0,-0.0293969564973086,0,0,0,0,0,0.0373385635179553,-0.733717536056337,-0.186737182862109,0.843202642349857,0,0,0,-0.0292605624009789
DXY.Curncy,0.0184407677203562,0.0149798960871643,0,0,-0.0691846524894641,0,0.0199291599220307,0,0.0144807103231654,-0.00115660231491298,-0.00928362832458064,0.037019896281154,-0.0125289955000417,-0.0282636884951545,-0.00493463868082755,0.0827157132322992,-0.028235213968845,0,0,-0.000288862161815876
SPX.Index,0,0,0.00266634689719431,0.0113569360487301,0,0.0217367749247423,0.00453933211587286,0,-0.0190123703241143,0.00727682243110026,0,0,-0.0120508326596644,0,-0.00193507132223642,0.0743227059742536,0.0130680906009173,0,0,-0.0408856934070237
VIX.Index,0,0.0389744847510353,-0.148707774508967,0,0,0,0.0650691598879817,0,3.46944695195361e-18,-1.38777878078145e-17,0,0.392774729322545,0,1.38777878078145e-17,-0.601739550011813,0,0.229177245684759,0,-7.10376208190317,0
