,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XLM,ADA,XMR,TRX,XTZ,DASH,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.186661459202553,0.165070337295176,0.00183326484576873,0,0.0574964282051695,0.179842543823383,0.0452678700242056,0,0,0,0.0242142967776241,0.0360852146807885,-0.0702448621027917,0,0,0,0,-0.0269717014806225
ETH,0,0,0.0364491517907819,0.0495390328809927,0,0.314665679665629,0.134189296620331,0.100007274307491,0,0.0638093317068629,0.12071671509651,0.0951630281232648,0.0450715171187392,0.000228791023727296,0,0,0,0,0,0
XRP,0,0.375201056889353,0,0.320574897460871,-0.0385006669677343,0,0,0.192408924993652,0,0,0.0104558914038052,0,0.124251011373409,0,0,0,-0.10490157687872,0,0,0.152112241192486
BCH,0,0,0,0,0.220957797105197,0.103145659089044,0,0.394282712764905,0.177419791124019,0,0,0,-0.103617874954299,0,0.150870080787432,0,0,0,0,0.0157341466914167
BSV,0.0821205572803633,0,0,1.64929582533657,0,0,0.818762275766816,0,-1.61242544422693,0.668601706145761,-0.952672719185833,0.125821854155915,0.302341482379857,0.108441627700061,-0.559532943082534,0,0.10858059323321,0,0,-0.0252276327318374
LTC,0,0.103307127983942,0.0893456306630353,0.0577665521683491,0.00244748003227845,0,0.560247477926953,0,-8.67361737988404e-19,0.0669166858274641,0,0,0,0.0431588226951768,0,0,0,0,0,0
EOS,0,0.395321462939963,0.0845314637627669,-0.105868554260605,0.058935549581597,0.556365285777309,0,0,-0.122793105752962,0.0709874514120934,0.143061860765663,0,0.106137828657671,0.0145856249429432,0,0,0,0,0,0
BNB,0,0,0,0.238806129500408,-0.0708788290117995,0.0649434007973866,0.139875747509455,0,0.0777138061718334,0.0196890504754002,0.0130698185680045,0.276828561695738,0,0.0747783975747051,0,0,0,0,0,-0.035214587240304
XLM,0.236880225525193,0.147373250904048,0,0.127065977892893,-0.0596663782348693,0,0,0,0,0.00942490477933296,0,0.299638186044904,0.173370920886516,0.0516071587846147,-0.0534284529416367,0,0.0726003570138805,0,0,0
ADA,0.302965158449932,0.329017843716176,0.163834945999885,-0.110604646100433,0,0,0,0,0,0,0.0626536166193169,0.296390991957984,0.0136527933323335,0.0524353156698542,0,0,0,0,0,0
XMR,0,0.0469154469272712,0.00175105804481793,0,-0.0783147375375115,0.0760050169895459,0,0.583863457039896,0.0152063258159019,0,0,0,0.0362670767952159,0.114282663280151,0,0,0,0,0,-0.00417721100773859
TRX,0.114569027263677,0.394776939678293,0.265961464662652,0,0,0,0,0,0.0760096764887778,0.194564382234673,0,0,-0.0379728270777325,0.095775646396264,0.0494635601614876,0,-0.371456986476198,0,0,-0.0498397661865412
XTZ,0,0,0.44506181471005,0,-0.00405624279471542,0,0.200212590971692,0.906288584902258,0,0,-0.0244009790502727,-0.753307348627903,0,0.0955742560254766,0,0,0,0,0,-0.169989358820112
DASH,0,0,0,0,0.215904573134503,0,0.635137094479804,0.230125022775027,-0.620381826854048,0,0.130415850953679,0,0.127950119014217,0,-0.0355410657197613,0,0,0,0,0.300691656310124
ETC,-0.118434699833386,-0.455137995211323,-0.436664190670108,0.621287293907083,-0.041925441128524,-0.455172432429765,0.212105240549065,0,0.0318037768730942,0,0.359463307629068,0.421325494910009,0.130862183352242,0.361219668784791,0,0.239624523680325,-0.0314834195426433,0,0,0.11573311265976
BV010082.Index,0,0,0,0,0.0232370239926513,-0.289448558341168,0,-0.00890791183169069,0.0148326027487206,0,0,0.328000086792651,0.0800284774127195,-0.0101281502300196,0.0489249812062654,0,0.0740529503877883,0,0,0
CVIX.Index,0,0,-0.0485274179921204,0,-0.0512547888929823,0,0.390756295980022,0.345534383772587,0,-0.431598794078313,0.352597691485413,-0.0411894632411441,0,0.059986921406703,-0.356731333931559,0.976439319534341,0,0,0,0.0486486254114518
DXY.Curncy,0.0226904211317903,0,0.00906995653771485,0.000302627247412559,0,-0.00344550919254502,-0.0132914414954306,0,0.0249663317388411,-0.0213600362797786,0,0,-0.0124753164433979,0,0.0125055820079825,0.102532632620501,-0.0348344041237739,0,0,-0.00230790386575802
SPX.Index,0,0,0.00300156203860511,0.0205470904871504,1.0842021724855e-19,0,0.0122211295963871,0,0,0,-0.014711246791453,0.00675443334167423,-0.0139102604726052,0,-0.00312915762395969,0.0751150207122387,0.00934350755079536,0,0,-0.0378558596449122
VIX.Index,0.780450572484207,0,0.0956660694285043,-0.183822685285104,0,0,0,0,0.457471757346161,-0.912014002409265,-0.455030043540231,0,0.0630277247386375,0.0471734562541192,0.448894451097767,0,0.583095611650345,0,-4.2962472426834,0
