,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,ADA,TRX,XLM,XMR,ETC,LINK,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0314475286476696,0,0.162629105247748,0,0.0149487407784872,0.147068657137408,0,0.0265023970299334,0,0.071588070843365,0,0,0,0,0,0,0,0,0.00959712642356382
ETH,0,0,0.153843638774342,0,0,0.219391592778739,0.0809707555943133,0.160644700496164,0.0169415962013273,0.168169932579381,0,0,0.113684735233308,-0.0551182617149476,0.0395123734346647,0,0,0,0,0
XRP,0,0.254786293496678,0,0.159676810496101,0.00674581436073301,0,0,0,0.0481475044470568,0,0.148215294216593,0,0.0930154087710272,0.028081619931735,0,0,0,0,0,0.068003258477741
BCH,0.369094139380038,0,0,0,0.222744072739637,0.402589235777985,-0.319565258776469,0,-0.0328336797501594,0,-0.0823544515212251,0.32934470622196,0.18124015479565,0.167167854383506,0,0,0,0,0,0
BSV,0,0,0.895979138318912,1.25802254621232,0,0,0.727851705581388,0,-0.624866933634016,0,0.0774915295180209,-2.14648349106678,-0.257929678244347,-0.287076638321511,0.562583520677078,0.865155540549175,0.454155291785913,0,0,-0.173743277459534
LTC,0,0,0,0.166400333095387,0.00288170641330193,0,0.388205684741983,0.242149904214639,0,0.0843047654622566,0.0807507687386817,-0.0954460162768968,0.0468568834269486,0.0122009322745195,0.102151381543509,0,0,0,0,0
EOS,0.112117097669498,0.382779779169936,0,0.000117289480004782,0.0842800959338042,0.208605756640059,0,0,0.0265204999479444,0.138145656425563,0.112278677343625,0,0,0.00747156644617318,0.0106109804887829,0,0,0,0,-0.0318826591195837
BNB,0,0,0.0491636239566699,0.19722522814938,-0.022988206451108,0.208330595532764,0,0,0.0415763314745532,0.190792700675443,0,0.0972682021596141,0.0319772632804735,0,0,0,0,0,0,-0.0100805862820381
XTZ,0,-0.183583619585807,0,-0.171462078047731,-0.0487242051431582,0,0.753026890620814,0.0977468746756169,0,0,0,0,0,0,0.437975575478399,-0.30320415288216,0,0,0,-0.167227076828239
ADA,0,0.171783186491761,0.111923074144316,-0.0748482452575614,0,0,0.174055984305526,0,-0.0516054093741287,0,0.390586872214825,0,0.166081948309702,0.12101109207334,0,0,0.221736747722133,0,0,-0.0287441487414082
TRX,0.281239921450415,0.182865778251155,0.363620910705341,0,0.027568919501128,0,0,0,0,0.25399682859639,0,0,0,0.0681160123887547,-0.0141316354307808,0,0,0,0,0
XLM,0.463225776434878,0,0.410849795985733,0,-0.0285752149731747,-0.0418326166023778,0,0.105368120944874,0,0,0,0,0,0,0,0,0,0,0,-0.0900408087412402
XMR,0,0.217548563652645,0,0.152889849084078,-0.0902097370618089,0.184096295607444,0,0.207318258496349,0.041842625116081,0.0832773898163188,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.0208428180951365
ETC,-0.225786484181832,-0.753795607109176,-0.249523435648199,0.728548911518244,0.04717330125681,0,-0.147247782965178,0,0.173643659187688,0.304128489445284,0.235921412394593,0,0.507858379618032,0,0,0,0,0,0,0.0970934938727636
LINK,0,0.243899602969366,0.400731522601429,0,-0.00628124774920009,0.134113058836624,0,0,0,0,0,0,0,0.125572945640276,0,0,0,0,0,0.0137053532774371
BV010082.Index,0,0,0,0,0.0453117505860688,-0.367420027628938,0.0130135037180298,0.146362532961358,-0.006973699927276,-0.0286519447047865,0,0.23267058541903,0,0,0.0676605461870211,0,0.0958419863301666,0,0,-0.0659736583380525
CVIX.Index,0,-0.349214059945155,0.333569352188017,-0.0488160345754584,3.46944695195361e-18,0,0.306976516997606,0,0,0.231415656932105,-0.408392037988397,0,0.382613269137382,0,-0.361618767315724,1.01948598670906,0,0,0,0.0851337895653464
DXY.Curncy,0.015334430920386,0.0261031687938325,0,0.00975421201585821,0,-0.0566823222917765,0,0,0,-0.0160813997119043,0,0.0211973083583494,0,0.00226420150804738,0.0167256496347563,0.057078679300355,-0.0356098532997557,0,0,0.00480805702386021
SPX.Index,0,0,0,0.00524260842486359,0.00399794164652778,0,0,0.00823729140327682,-0.0257549915161377,0,0,0.0127603534108557,0,0,0.00334417733807028,0.129609116102014,0.0164054209757134,0,0,-0.0545638190497893
VIX.Index,0,0,0,0,0.0354540327788999,-0.485140862898559,8.67361737988404e-19,1.02882082613909,0.113627357695301,-0.0827846753468716,0,0,-0.482915641478391,0.223381172124704,0,0,0.611209909693321,0,-5.98508655157388,0
