,BTC,ETH,XRP,BCH,LTC,BSV,EOS,BNB,XTZ,LEO,XLM,LINK,ADA,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0167386524854809,0,0,0.212652364386248,0.210857042908016,0.0466505896928819,0,0,0.111935516565749,0.221739334623302,0,0,0,0,0,0
ETH,0.0817034311757456,0,0.130900381136696,0.185423554416449,0.133805215346863,0.00505368957209371,0.0740369044705602,0.0505496694540344,0.122618500101313,0,0.0152875167900119,0.00833888837671248,0,0.247385647319322,0.0211037198116046,0,0,0,0
XRP,0,0.107542684531167,0,0.106314020603592,0.225279336498273,0,0.0461385343298533,0.0509717912799327,0.10611717763339,0,0,0,0.00145156227896855,0.0826931178410699,0,0,0,0,0.00992394314748616
BCH,0.213622294653794,0,0,0,0.243177176490526,0.232889512936643,0,0.221704663580187,0,0,0,0.0363694124207277,0.0225986695729912,0.0895600198311785,0,0,0,0,0.0594152210809291
LTC,0,0.169259288237372,0,0.0549273714217973,0,0.0249529537105958,0.342527191653371,0,-0.0189397717287877,0,0,0,0.256206862722257,0.171873212780354,0,0,0,0,-0.000909337513877789
BSV,0,0.985963381998673,0,1.25032731711181,0,0,0.687572937059937,-1.59741292769654,0,0,-1.32539469539742,0.503108011667844,0,0,0,0.219479359474515,0,0,0
EOS,0.15254723780448,0.042456328271199,0.243689876420559,8.67361737988404e-19,0.440607933447906,0.0937616746247848,0,0,-0.185604850208254,0.0877915953951715,0,-0.0593325419266534,0,0.342196627169832,-0.201699989164993,0,0,0,-0.0541463912044481
BNB,0.219279665962134,0.267177642101364,-0.0272029716555675,0.275284880798318,0.16383706007303,-0.0448857044032207,0,0,0.100494182001326,0,0,0.00852080345244052,0,0,-0.211902876600488,-0.0391738833846348,0,0.0727024619170395,0
XTZ,0.484841398554205,0.117082574014914,0,-0.0812595236361456,0,0,0,0,0,-0.0422536527842449,0,0.384433115255252,0,0.142815356638637,0,0,0,0,-0.0280902479589077
LEO,-0.49210215904769,0,0,0,-0.0979459156150258,-0.0287620313517029,-0.145901042018967,0.275259181211569,-0.116084046781163,0,-0.16883062593031,0.0712797114455384,0.607756810018406,0,-0.0963847475224915,-0.0234816945365207,0,0,-0.0504623171092625
XLM,3.46944695195361e-18,0,0.675424201277194,0.0989676104782167,-0.138793532101734,0,0,0.132340519859795,1.73472347597681e-18,0,0,0.0500734290128256,0,0.0232277290859766,0,0.00976600428388682,0,0,-0.0721819417513058
LINK,0.410961033287982,0,0,0.0963214719680361,0.200176256291207,0,0,0.20976577427072,0.137163031359734,0,0,0,0.0907777187438718,0,-0.0564774312768387,0,0,0,-0.0115957580302128
ADA,0,0.140489489325708,0,0.00925928255774607,0.283806572837622,0,0,0.163881670562136,0.117804079530829,0,0,0,0,0.199774417207398,0,0,0,0,0
TRX,0,0.064110429374524,0.283826698677564,0.0352653012788148,0.151540514116652,0.0226301198901689,0.0975590152091211,0,0.0584859409496666,0,0,0,0.32772293577236,0,0,0,0,0,0
BV010082.Index,0,1.1719843573002,-0.262452594109575,0,0,0.0658443145357703,-0.22752618291701,-1.44849142994842,-0.745431671280991,-0.066145030110776,0.65495257052109,0.673347064237483,0,0,0,0.155813663563015,2.35106081805217,0,-0.0765691590717587
CVIX.Index,-0.598088927489433,-0.226878228480802,0,-0.359610193004862,0,0.117952379476842,0,-0.0809159101078281,-0.239245816621164,-0.271613129632312,0.0951777678436791,0.475017734617016,0.841654453865873,0,0.363797069435207,0,0,-1.66671498338011,0
DXY.Curncy,0,0,-0.0530326498871248,0,0,0.00269515703916462,0,0,0,0,0.0325700563857393,-0.0113008263090924,0,0.0168058298043933,0.0506887015279611,-0.0273876762332331,0,0,0
SPX.Index,0,0,-0.0540350655896096,0,0.0349818443401326,0.00123247363242275,0.0110621048862458,0.0144265384010184,-0.0441016098549524,0,0,0,0.0661696354516596,0,0.0784645825237082,-0.155844030136111,0,0,-0.123316439620184
VIX.Index,0,0.190949960276317,0,-0.376532443557396,0,0.147414731447849,0,0.275165396320665,0.128888138428967,0,-0.483492600977045,0,0,0,-0.120122602344865,0.0400850994194012,0,-3.4698282641577,0
