,BTC,XRP,LTC,DOGE,XLM,DASH,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0544273529958495,0.137720636366193,0.0863428638864375,-0.0276693575490593,0.139909787433944,0,-1.73472347597681e-18,0.014908989601518,0,0.0558631292773635,0,0,-0.0576465675067254
XRP,0.900664512406201,0,0.129064031526969,0,0.232884203818316,0.329257095757471,0.113358990022224,-0.362799267958047,-0.0892021394034374,0,0.311898655978075,0,0,0.0889629713831218
LTC,1.44860373591342,0,0,-0.0531616710717558,-0.305273594241335,0,0,0.0676277176137662,0.269588262294018,0,0.165706451381994,0,0,0.250986021596686
DOGE,-0.122877000673393,-0.0683194580411641,0.118691641019811,0,0.581198554363075,0.125751844353455,0.456027204270382,0.367693168283539,0.161589168578789,-2.22070967306762,0,0,0,0.210636572832959
XLM,1.3436299767952,0.319677826361566,0.0718876128335065,0.153101823564835,0,0.121628687285749,-0.636605424922426,0.0614977624069013,0,-1.76103523052387,0.284263791421964,0,-5.85311009549325,-0.776055101833097
DASH,0.759596718938517,0.107134412371441,0.407309852295101,0.0334245586329902,-0.184257786654914,0,0.109826584332376,-0.326570270817551,-0.216523666531018,0.880175131325099,0.0579069341666947,0,2.00763613365707,0
XMR,1.98013803422459,0.533176477398391,0,0.186796894108429,-0.413693585329415,-0.260229323634436,0,0,0.179577771212797,0,-0.810122867073923,1.62178713792021,0,-0.593562993760755
XEM,0,-0.325385744919301,0.316174804602396,0.0647032939298563,0.093904614956147,0.564001958534467,0.283983514700682,0,-0.385630843492825,0.0262522112244455,-0.971521228678096,3.3563112633091,0,0.197610053301172
DGB,0.354685219755866,-0.377675718041359,0.0111599450976199,0.200785419148189,-0.138261426733576,0.278712063590573,0.376847233014515,0.258650345579117,0,0.825900219350724,-0.436499408775558,0,0,0.326751994655333
BV010082.Index,0,-0.0272183015801774,-0.0255131022021213,-0.0407846714338737,0,0.0612116877335533,-0.0134581174947888,0.024955638704336,-0.0366073808659453,0,0.0589349044134622,0,0,0.0542504763725743
CVIX.Index,-0.0999884686017164,-0.100859652403003,0.0434239727907998,-0.0710612668133214,0.21972488670135,-0.211206284120309,-0.0768849287114682,0,0.0881460248129822,0.856579174242758,0,1.09017493349909,0,0.162282633103383
DXY.Curncy,-0.0920672256874166,4.33680868994202e-19,-0.0307465113905256,0.0514880398796722,0.0443765351059171,0,0.00671002985933244,0.00465066636948117,-0.0195318216461772,0,0.105410616987318,0,0,-0.00613197395968256
SPX.Index,0,0.011253768210354,-0.00258697155932317,0.0212387707016427,-0.0129829432888429,0.00117036129747179,-0.00718860846486104,0,0.0085695309068046,-0.0814180117811351,0,0,0,-0.0820953896667518
VIX.Index,0,0,-0.0802140064267331,0.217527938935373,-0.0724756160426474,0,-0.0702538210250909,0.110661050294126,0.262841510600767,-0.425884042512781,-1.38777878078145e-17,-0.157570818530305,-9.15945892517444,0
