,BTC,XRP,LTC,ETH,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.324860627441285,0.113270781958554,0.197809927833583,0,0,-0.0369890354476101,0.0435620564548556,0.122356372932449,0.0506413996105747,-0.310070221907351,-0.389649030940779,0,0,-0.15575631332882
XRP,0,0,0.201780191267958,-0.0330955432581346,0,0,0.422654369724824,-0.0893280846533652,0.0858550960722265,0.0691674135903167,-0.442028349613169,-0.0414429119559107,-1.4355621568857,0,0.0917166785880853
LTC,0.677749526845763,0,0,0.0452190285628667,-0.111180631647272,0.429609464265691,0.103756831069447,-0.217067165544445,0.0439660478783022,0,0,0,0,0,-0.12994861803007
ETH,0.0423901280355145,0.644666609485222,0.504415323148715,0,0.427871839917989,-0.344495422723715,-0.411459536594259,0.00874697636116662,-0.270338653032176,-0.0441554320476761,2.94877978106708,0.807431633519295,4.9470289841696,0,0
DASH,-0.0149848599422119,0,0.467767576285462,0,0,0.339042583574623,-0.164435059637916,-0.036106346160695,6.93889390390723e-18,0.0390023817619426,0.306170437628043,0.114813001388159,0,0,-0.0875522459892927
DOGE,0,0,0.282528938031944,0,0.259974617506648,0,0.13721781031226,0.101679910690805,0.132274671934012,3.46944695195361e-18,0,0,0,0,-0.0687374428300809
XLM,0,-0.16781032065958,0.777227783131403,0.158025584304841,0,-0.874646192352854,0,-0.254893398005129,0.196116784800102,-0.00564550087840399,-0.240223630758939,-0.21679108451106,-3.67785451824599,0,-0.133815335438394
XMR,0.139206221838095,0.41707731035428,0,0.00199738786692967,0.185052206112642,0,0.0651632095260647,0,0,0.0926462002602217,0,-0.0937690828522497,0,0,-0.365230125145577
XEM,-0.161509701959243,0.143225562884883,0.915257001560228,-0.208810650180023,0.713380896088366,0,0.066272269938144,0.548491546410577,0,0.074896299986851,2.63918134328261,-0.0830299641008021,0,-6.05146514193214,0
DGB,-0.422144946049363,0.91095480949362,-0.995359321064427,0.692998110079037,-1.38367239184597,1.13889587472997,0,0.177732866875657,0.954920780760982,0,0,1.09353021025346,0,0,-0.230329056560095
BV010082.Index,-0.0747439390761044,0.106551295001784,0,-0.0178340140665218,0.0647292760917651,0,0.0200391097809947,0.0612408855241059,0.0212511316504289,-0.027364599362844,0,0.00476372236122661,0.354239201960664,0,0.0335882139858646
CVIX.Index,0.141508940965131,0,-0.00418334115431109,0.0467855681672883,0.077976714870896,-0.0405467010564819,-0.307066107160605,-0.30215438201126,0.105777551517014,0.0130168813875828,-0.324480581205934,0,1.63019361781799,0,0
DXY.Curncy,0,-0.0686929743955068,0.0380556014645873,0,0,0,-0.031776969441879,0.0298027692828332,0,-0.0126537335059395,0,0,0,0,-0.0481360053741621
SPX.Index,0,0,0,0.00444556532991367,0,0,0,0,-0.00305524396153065,0.00264987504693354,0,0,0,0,-0.0808891538577696
VIX.Index,-0.169215933681638,-0.0200622693888081,-0.146340957075558,0.18866080178261,0,-0.125945797009109,-0.00362914792415768,-0.157612087757528,0.144688234881574,0.128721663504561,0,0,-1.14683592260291,-4.54850970986323,0
