,BTC,XRP,ETH,LTC,DOGE,DASH,XLM,XEM,XMR,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0421042628832876,0.054828975303889,0.884744957427863,-0.0804361880579045,0.0629116163533043,-0.0634920715321082,0.00766666129230165,0.222503223829684,0.0463912637388862,0,0,0,0,0.0555976120746451
XRP,0.291957663070781,0,0.0801242085824994,3.46944695195361e-18,-0.0453292686990796,-0.0735328502641107,0.671192853645877,0,-0.637607511219708,0.179834684316486,-0.9799561196266,-0.252353308001141,0,0.796813644743811,-0.133217910788902
ETH,0,0,0,0,-0.140301560520423,0,0,-0.033923683777808,0,0.0879109124562236,0,0,0,0,0.0870291472625464
LTC,0.840558468980156,-0.0520946315184748,-0.0396196499597214,0,0.0725543512031074,-0.105764818416984,0,-0.031229766102337,-0.140712739136691,0,0.277580119743281,0,-0.519546826750031,0,-0.0420839141336164
DOGE,0,-0.340467953675159,-0.0394148753179083,1.61537519799414,0,-0.0705399308473865,0.895564908573096,-0.164713493405627,0.261436398366106,-0.255479434769398,0.0741301852108059,0,-2.25217900786175,0,0.23300474294445
DASH,0.81428896333063,0.208334044178375,-0.387762981003086,0,0.0114100224661807,0,-0.411453253271649,-0.0720183423111194,-0.492862355913557,0.061746823284229,0.524349226468656,0.313412258467049,0,0,3.46944695195361e-18
XLM,0,0.0135550562303966,0.10518708227014,-0.0943674627522601,0.361695324867306,-0.0527501834749292,0,0.0875771538089395,6.93889390390723e-18,0.121246370559916,-0.954535706866086,0.800329809004461,0,0,-0.240678434963379
XEM,-0.34318077498628,0.199555723166624,0,0.312820126103558,-0.118845410255095,-0.149105180343429,0,0,0.343893374074305,0.10099204786398,1.77476058038742,-3.88829840835903,-2.19263624610648,0,0.305990131376042
XMR,0.957848533017638,-0.0601584426328295,-0.121250586616598,-0.22706166511921,0.04963378733671,-0.0973069236881185,0,-0.0843125372137125,0,0,1.16942032343551,0,0,0,0.0136041051944488
DGB,0.910057254769936,0,0,0,-0.607896222725913,0.0469965562502306,0.368279155709423,0.225863204980489,0,0,-0.274874025962415,0,0,0,0.344371054052118
BV010082.Index,0.00325405520051214,0,0.00996270296511279,0.00472367306870163,0.0222551735580243,0.00195631833702866,0.0348081528705405,0.0270590271088094,0,-0.0169069788703717,0,-0.33004846073207,0,0,-0.0227082508601812
CVIX.Index,0,-0.0442871070701886,-0.0720052260937138,0.0502500964254443,-0.00733952997787843,-0.00905234380203485,-0.052415303060885,-0.0455340243364121,0.0464202126903437,-0.0141909199379997,0,0,0,0,0.1191159841413
DXY.Curncy,-0.09692079912217,-0.00816566520038352,-0.0349183983039356,0,-0.0202467847025767,0.0382577071541996,0.0369164896227371,0,0.0602387833815402,0,0,-0.124340830403998,0,-0.0979764725704907,0
SPX.Index,0.0466005556730521,0,-0.0181339388626632,0,0,0,-0.0188857818527709,0,0,0,0,-0.0302244410402678,0,0,-0.125304657874847
VIX.Index,0,0.340758488400405,0.0449643960975598,0,-0.0442465371147827,0.17306845019803,0,-0.15738205322612,0,0.173132324658774,0,0.228892317864136,0,-4.62039319954547,0
