,BTC,ETH,XRP,LTC,DASH,DOGE,XEM,XMR,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.296473889451456,0.333670932356733,0.0573028514444776,-0.0493363644961056,-0.0987729815474556,-0.055356578785493,0,0.0112733987590161,-0.205314687893294,-0.152116183735209,0,0,0.0735884627899437
ETH,-1.17124820337844,0,0.190628608260632,0,0,-0.787400246013217,0.379870258104945,-0.0199412251689906,0.250610531137297,0.0571301109188794,0,-0.273283298447736,0,0,0
XRP,0.394787771393821,0.167382442841277,0,0.222286570342046,0.572726146273034,0,-0.168848835013623,0,-0.0242130883425146,-0.191858253089194,-0.321080872783533,-0.202345928223909,0.70116278928223,0,-0.0417999103684553
LTC,1.5542028506722,0.00754565625858398,-0.0691508973324236,0,-0.183593472437731,-0.116366175099424,0.00774233441159514,0.0706487186377429,-0.0542995555129851,0,0.492481474219367,0.0453812761268693,0.0851599375498314,0,0.0648523557779255
DASH,-0.470129868941329,0.0649610631149705,-0.273253564845895,-0.408744818457556,0,0,0.10479227021917,0.195928317926386,0.107376827117745,-0.139235537322588,0,0.0641081498133253,0,0,0.205789479892163
DOGE,0.524627407881745,-0.0564373989373432,-0.199784161093725,0.219869333833475,-0.00439301779679666,0,0.0696312453241744,-0.0810132491508559,0.185151204032319,0.0391663633816342,0.637798253974544,-0.0482867400150427,0.85242671092701,0,0.0978079718982772
XEM,0.741364905678757,0.233620776910648,-0.436958211734349,0,0.524929802429927,0.101585339414514,0,-0.0167153473026237,-0.0485354584523105,0.0145460078873454,-0.744656313714789,-0.04172152582524,1.21910168526313,2.88199453677263,0.293473046966246
XMR,0,0.526317724534071,0.348374931535924,0.0551616344969645,0.258361651921179,0.394969344481761,-0.248939260950548,0,0.823053033170433,-0.100720448321224,0,-0.726351987628936,0,0,-0.554499013005162
XLM,0,0.0868993484014043,0.400565214702659,0.425932523596593,0.311561785047435,0.182823044971325,-0.0149941987976809,0.122505260232849,0,0.0204474408201883,0,-0.231701072592526,0,0,-0.121242786554581
DGB,0,0.617764771315085,-1.07934184624734,-0.254385703625992,0,0.613957602317965,0.632732669795679,0.347726030820139,0,0,0,-1.27225740830138,0,0,0
BV010082.Index,0,0.0557134959957577,0.0769711455892405,0.281636963035653,0.0905156109666254,0.167467868302834,-0.0436010957865639,0.0428171072701111,0.248596277220665,-0.0705184358724728,0,0,1.00951353285565,0,0.052974128708539
CVIX.Index,0,0.0295157400741893,0.256237359491166,-0.184131187320732,0,0.121007327335226,-0.154558291778357,0.0779596992436787,0.0253962454225265,0.00687995751716159,-0.0646377914477363,0,0,0,0.101007686203184
DXY.Curncy,-0.0708041352310903,-0.013876891155252,0.0402749677501876,0.0751856975244988,-0.00379134437797676,0,0,0.02238232254401,0,0.0166733494650599,0.0368638217723443,0,0,0,-0.00192259405678901
SPX.Index,0,-0.00432628116544478,0.0171185841786863,-0.0259523060623014,-0.00940444845064459,0,0.0114946819705673,-0.0132972358694288,0,0.00583331105129746,-0.0228920823112329,-0.0257542645571665,0,0,-0.0859007083348657
VIX.Index,-0.126369605545281,0.132091648953288,0,-0.225699664319994,0.100191889705382,0.430324338865403,0,-0.380288385493307,0.143239933890178,-8.67361737988404e-19,-0.177694221609595,0.21532848117807,0,-3.41160279751574,0
