,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0705079576478915,0.0175305403984454,0.301216404441134,0.0328597387994733,0.0322245147289323,0.116727997961739,-0.0597461973126809,0,0,0.0196941311349313,0,-0.178962542889356,-0.0312282593365298,0,0,-0.0188332789908661
ETH,0.804306492276006,0,0,-0.241518616378603,0.114519311930545,0.0072988794232015,0.181631184124923,-0.0219029517551485,0.183064774088471,0.0524295770250798,-0.0187652994671962,-0.101473507660829,0.954308455792576,0,-1.00002555122291,0,0.162848383384802
XRP,0.304034396533224,-0.31669911261735,0,0.149147685895875,0,0.0564714110405737,0.328449554714696,0.0116480406304067,0.410186363457663,0.545067915114741,-0.0558197874914094,0,0,0,-1.11378081317754,0.656348979462029,0.13285152748102
LTC,0.350002008590302,-0.153456241392136,0.0113088348908482,0,0.130247695726464,0.0213498911886485,0.0133504607821045,0.0157033690303898,0,0,0.028313700932396,0.0894466118772769,0,0,0,0,0.0455160147106329
ETC,-0.121448394825926,0,0.0300998313101067,0,0,0.016642481480325,0.202715641233676,-0.19743568214048,1.32111270565391,0.0380344430835484,-0.0880363921260867,0.294196902123216,0,-0.663108725766864,0,0,0.197026650212334
XMR,1.50375120680414,0.398962876007698,-0.202310792864572,0,0.162838979346772,0,0.184075833574245,0.0942307665096364,0,0.0984319398810694,-0.280224453983767,0,-0.890429736685346,1.13076208457208,0,0,-0.204616565263741
DASH,0,0,0,0,0.0426654801647446,0.0539243036833693,0,0,0,0.0501254493815153,-0.0907096354063462,0,0,0,0,0,-0.0367270669177688
XEM,0,0.40387283622805,0.144852063461258,0,0,0.193906893940813,-0.6012864899109,0,0,0.1778568601015,-0.0738039980904899,-0.0519736943361684,-0.752460897847923,-0.895625192673769,0,0,0
DOGE,-0.16316400902633,0.0736793862978998,0,0,0.0794145023911109,-0.0584549666184665,-0.0647390423226295,0.162284211070376,0,0,0.00116331423333468,0.0548174658079106,-0.951409840709263,0.327816145047092,0,0,0.047712669591117
XLM,0,0,0.555532553095701,0,0,0,-0.182209364094842,-0.210665262557962,0,0,0.0279252007460188,0.201701953179492,0,0.184296594924034,0,0,0.0583476616939847
NEO,2.13962862257054,1.13133148651799,-2.47156748713007,0.973404640674024,-0.099737807954289,0,-2.90249580697292,0.951633395625618,1.500301379666,1.35704945905128,0,-1.59953200557721,0,4.88942064952485,0,0,-0.761489585345292
DGB,0,-0.51116420012561,0.110496743412612,0,-0.132134694727364,0,0.276324383492907,0.310576579473592,0,0.206629353546496,-0.0312882416871987,0,0.352855272502104,0.630996638157813,0,0,0.0665765075075282
BV010082.Index,0,0.0581113618862126,-0.0953519163760387,0,-0.108623623587329,0.0325407698141632,-0.178503048607014,0.0268759435717199,-0.287186379979275,0.0838129868679185,-0.00624345722733478,0.0883606189046864,0,0.0802027354773236,0.194880412970371,0,0.0686477197855359
CVIX.Index,0,0,-0.147747988242944,0,0.131464462579894,0.00423395610603628,0.198931605652508,-0.102445928620877,0,0.169623248639633,0.0162424469631172,0.0479215517878441,0,0,0,0,0.123132654316678
DXY.Curncy,0,0,0.0150870023131171,0,0,0.00396680641033056,0,-0.0148546342835796,0,0,-0.00267277415663055,2.16840434497101e-19,0.158269893940449,-2.16840434497101e-19,0,0,0.00296307113479556
SPX.Index,-0.0394216177189277,0.0243597239474458,0.00155250461430059,0,0,0,0,0.0274864593237018,0.00366175426624685,0,-0.00152766877382608,0.0251947921591531,-0.00553154700790877,0,-0.197781711689102,0,-0.0659900135384475
VIX.Index,0,0.315644826854522,0.050774823508894,0,-0.267443394522071,0,-0.755706704817654,0.417502858476801,-0.130379417973414,-0.0959295320298386,0.0484050458312741,-1.73472347597681e-18,0,1.294881431327,0,-3.23196350232666,0
