,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0306655173612353,0,0.677346346295076,-1.73472347597681e-18,-0.0772353835588788,0,0,-0.162702231746203,0.0973708125374809,0.0616741317620365,0.0316522370184286,0,0,0,0,-0.0582240726110009
ETH,0.502661067725237,0,0.0810820712579407,0,0.0678707061743598,0.172591164294886,0.363676709222035,-0.0285324473841053,0,0.0823222272595378,0.0129528324729326,-0.0410108996926807,0.651860395307668,-0.0810301633866847,0,0,0.07115037295118
XRP,0.0944413373080593,0,0,0,-0.0502450092355975,0.0538854320739874,0,0.142493792803546,0.179933797845203,0.416444900272718,-0.169565354992444,-0.166843679515079,0,0,0,0,0.237157436059298
LTC,0.472355016902918,0,0,0,-0.152347112370896,0.049168895352975,0.0798569863030744,0.0303887805219977,0,0,-0.00373249279346104,6.913127827221e-06,0,0,0,0,0
XMR,0,1.20565989036969,0,0,0,0.241150709945876,0.403972529775514,-0.0138715852053538,-0.512775384419676,-0.0218128077119585,-0.248619737921543,-3.46944695195361e-18,-0.361221572592159,0,0,0,0.0978022749490138
ETC,0,0,0.0578348786979205,0,0,0,0,-0.0723399786979711,0,0.0961947718389138,-0.0612797962138363,0.220430189876883,0,0,0,0,-0.149231362010441
DASH,0,-0.133035549337579,0,0,0.194432167766489,0,0,0,0.0974300737519532,0,-0.0676907690302856,0.0569768591466663,0,0.283864026964081,0,0,-0.050053829214738
XEM,0,0,0.140115190110282,0,0.255079046203858,0,-0.813742072175208,0,0.491032995044639,0.229109073017092,-0.0963009047682001,0,-0.183809662605868,-0.942068691337261,0,0,0.0456700394733355
DOGE,0,0.0310896238699334,0.103140986485528,0,-0.0866689090046711,0.121636278261907,0,0.124452542634575,0,-0.0715015135133748,0.0392511961952843,0.156744853952558,-0.130284979202831,0,0,0,0.117908926739635
XLM,0,-0.298408177852498,0.590692697302833,-0.372778903040841,0.2462918961086,0.322845573741248,-0.0721702968600599,-0.270226736932253,0.375298821599461,0,0.0277505466982196,0.169905268199239,0.0963069883988586,0.389716124253038,0,1.25731488694523,0.172186304728456
NEO,-1.46609680455627,2.12978402381594,-2.61360279281093,1.04175626786215,-0.619622791440257,0,-1.30626118106658,0.562934601554362,1.79195409727314,1.41808823371658,0,-1.43428720966326,2.38042033678416,0.0527705906909809,0,0,1.06391253316362
DGB,0,-0.0869128040332862,-0.0712460566599133,0,-0.150135696836748,-0.157143813792875,0.381005063143912,0.0911418719956597,0,0.300782449322129,-0.137429253963465,0,0.29646302140342,0,0,0,0.14874228222739
BV010082.Index,0,0.108484475609675,-0.101574747679586,0,-0.108554735672776,-0.104781240487451,0.113363336774914,-0.0102656136587707,-0.248624222541447,0.0972187285177355,0.0302124259740837,-0.00357346146573029,0,3.46944695195361e-18,0.719703670097624,0,-0.00957930706502759
CVIX.Index,-0.15824828916583,0,-0.295486969786809,0,0.00191078588118463,-0.20840220798068,0.231805005495918,-0.0826236351665378,0,0.125398850474421,-0.0325274876167002,0.00208441063310235,-0.251901597001218,0,0,0,0.16849876618353
DXY.Curncy,0,-0.0115092576816047,0.0166608323432985,0.0392151423887714,0.0268958990751414,0.00578545193862937,-0.00392394259065912,-0.00552477884520225,0,0,0.00695434997233414,0.0108598768152431,0.197870137941301,-0.0250618942054325,0,0,-0.000447292948962396
SPX.Index,0,0.0287460385295533,0.00318586785733281,0,0,-0.0224164716371948,0,0.000601729489605214,0.0250216983858063,-0.00935997250325635,0.00163694272888189,0.0171929347609818,-0.0737947248927074,0,0,0,-0.0669730447590228
VIX.Index,0,0.383789243772079,-0.102883953532538,0,-0.194304526416148,-0.454592377409917,0,0.028373600730264,0,0,-0.0369685811692278,0,-1.19520561331797,1.02814852558947,0,-6.97088395420379,0
