,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,ZEC,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.392714685487414,0.0884447747904881,0.702796870550298,0,0,-0.0855097723711178,0,0,0.13548402687364,0.0102088655549258,0.0104440626337702,0,0,0,0,0,-0.0442238550471414
ETH,-0.0556622099561028,0,0,0.410732312470142,0.167609191726702,-0.0749085572930528,-0.359558726243832,0.0589008453369946,0.365741856350498,0.331865496604218,0.0277738515631521,-0.00887672532129868,0,0,0.261491310519837,0,0,-0.246156071566093
XRP,0,0.286874049445645,0,0,-0.0102811897150659,0,-0.112434432777681,0.00905880339900968,0,0,-0.0759263566662568,-0.0355277697210997,-0.314311938950255,0,0,0,0,-0.0825273527938616
LTC,0.535846089925335,0.240975064582613,0,0,-0.166693230358923,-0.146954939718581,0.152692779942,0.0278431945712751,0,-0.0920243788415741,0,-0.0192530138155787,-0.00352846192733706,0,0,0,0,-0.032675062403514
XMR,-0.591992614283179,0.805978493524017,0.220394534681552,-1.16810778136893,0,-0.0225200849252047,0,0.1612359176678,0,-0.23032280568063,-0.0414624448352718,-0.103750814436323,-0.0415692851436131,-0.435451229251812,-0.13605488735956,0,0,0
ETC,0,-0.529850696054383,-0.32022672495001,0,0.0572182384292689,0,-0.0754748365729322,0,0,0.179206657249653,-0.0459562474141312,-0.0883422782687717,0.33367357323052,0,0.076825574082827,0,0,-0.0855595067313021
DASH,0,-0.235496919637729,0,0.496241448360402,0.180129606162738,0.082325705643659,0,0,-0.174111693889644,0,-0.0865863860506803,-0.059015103413288,-0.0815545269686098,0,0,0,0,0
XEM,0,0.345349513529979,0.0631222226942503,0,0,0.226183797618434,-0.295089686225261,0,1.07977792292878,-0.0699388044097928,0.0168676686565444,-0.118932405312511,-0.142148974864989,0.906882264834724,-0.772952192985159,0,0,-0.0205953150925859
DOGE,0,0.152388992805059,-0.0476197562730723,0.132458802146413,-0.0940328477928492,0.0432923845404817,0,0.047373369628498,0,-0.0159514019047604,-0.00806195851993483,0.0380178212388236,0,-0.266200072728054,1.73472347597681e-18,0,0,0.0465639182456822
XLM,0,0.276887359152333,0.0510544268275493,-0.355452968466309,0.0669528688196009,0.19371048946224,-0.252261771678873,-0.12044532170587,0,0,-0.0681926246738793,0.0341666969570627,-2.77555756156289e-17,0,0.167403608322671,0,0,0.0400028180224395
ZEC,0,-0.115358966322841,0,0,0.344030147375886,-0.249353068945222,-6.10304286307681,-0.301596942774902,0,0,0,-0.676070072668893,-1.84978674570005,0,0,0,0,-0.297972500818256
NEO,0,2.9072746251534,-2.86284006665253,0,-0.0988661351811193,0.119064969744441,-2.55200507737333,0,4.49361188273996,0.0212987939487103,0,0,-0.970601831865515,0,0.0606833541949022,0,0,0.663156842844443
DGB,0.322791564628967,0,0.160199114229211,0,0.0735247430313007,-0.0969676721445242,0.136562524972572,0.0934290989394349,0,-0.0446035735647068,-0.0417802538444845,-0.132052882120603,0,0.608514680039279,0,0,0,-0.0524327132822244
BV010082.Index,-0.122873849935569,-0.0264106925179595,-0.0213717171007591,0,-0.0420019478409353,0.0250687857249142,-0.0168166426192327,0.0731752516712492,0.0510730992800377,0,-0.00302297348210833,0.0117980266824967,0.00812609173615514,0,0.113185353092894,0,0,-0.163505296521215
CVIX.Index,-0.0212307223185875,-0.136402299119836,0,0,0.0690271793857251,-0.255612463722239,0.0638651528338791,-0.15064026442394,0.187038818778113,0.045882115496889,-0.0243309604469759,-0.0298933380752825,0.156521785000928,0.40517305662746,0,0,0,0.217623597958422
DXY.Curncy,-0.00857192308847441,0.0393517177118825,-0.0227209283420543,0,-0.00662882766457073,-0.00308235607305125,-0.0353869945461696,0.0341567258015763,0,-0.0186936251006624,0.00155292320015961,0.00123007010623947,0,0.147790980667143,0,0,0,-0.0104095418092342
SPX.Index,0.0234316617346059,-0.0192118999274172,0.016984809450482,0,0.00618156557884259,0.00785996428426758,0.0100201253319259,0.0132274819047877,0.0148631139608444,0.00965267559318283,0.00153978805907532,-0.0020718349061076,0,0,0,0,0,-0.0436041356186921
VIX.Index,-0.196319815975015,-0.203376136161199,-0.642314461445067,0,-0.185876489187959,0,0,0.372075888413623,0.141845364293079,0.0849925330805567,0.0543255730791805,-0.0490346358167261,0,-2.6864444775662,1.36529376105323,0,-3.16157119344589,0
