,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,DOGE,DGB,XLM,ZEC,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0170924460432399,0,0,0.079409742970167,0.112546947354726,0.133196589507363,0,0.0395819369563878,0.00422785244673373,0,0,0,0,0,0,0
ETH,0,0,0,0,0.125079674488829,0.143779688522173,0,0.124018918632552,0.104266265100705,0,-0.0610253128594972,-0.169818532941394,-0.0131362054133784,0.385077994656106,0,0,0,0.0203893008629833
XRP,0,-0.251272848996373,0,0.00528151511139336,-0.433514693785051,0,0.451145025786596,0.147618150121081,-0.249771452404435,-0.0238008347770882,0.330140347760256,0.0729214246943499,0.125861283970035,0,0.574237665494175,0,0,-3.46944695195361e-18
XEM,0,-0.209356356974786,0,0,-0.49534780910643,0,0,0.131681800184817,0.10295452719243,-0.0168599290185894,0.0302852246851278,0.175505988059542,0.450883444509279,0,0,0,0,-0.141971748307756
ETC,0,0.331523965093816,-0.17573599372267,0,0,0.00925473587952055,0.228261330736723,0,0,-0.0423237974281626,0.0296418727734731,0,0.141659257555309,0,0,0,0,-4.33680868994202e-19
LTC,0.214451720204443,0,0,0,0,0,0,0.214985548914898,0.0995097908841454,0.0324257612768737,0,0.0210480047566759,0.290394672895864,0,0,0,0,0
DASH,0,0.0437424743453494,0.116171501223037,0.0375634387538024,0.180452258264384,0.145703844919592,0,0.257924716615246,0.0616835676444821,0,0.0527071899557038,0.0610989869303732,-0.0477166836648732,0,0,0,0,0
XMR,0.0218194178494578,0.365138448321896,0,0.160491630405737,-0.089474433731087,-0.0594414257359726,0.217992631664801,0,-0.125942148171253,0,0.164989636254635,0.16318829215826,-0.137968142671749,0,0,0,0,0
DOGE,0,0.033706910196881,-0.120459519533092,0.100740523866797,0.0105418273388046,0.26776293989755,0,-0.0259372628045803,0,0.044668828479259,0.294385633047174,0.271522585673025,0.134977130347095,0,0,0,0,0.339607924399078
DGB,0.0969920026467828,0,0.574695479856891,-0.072959746028415,-0.351555800472995,0.022534984836445,-0.163648626471853,0,0.550588540762511,0,-0.289557940557122,-0.213132290226803,0.245722215227913,0,0,0,0,0
XLM,-0.608289757413107,-0.226360625500687,0.309448630657712,0,-0.37227160505687,-0.488320949315466,0.481693898550383,0.686009849299252,0.0779639907789234,0,0,-0.32234992782723,0.584332406122098,0,0,0,0,0.193798152709188
ZEC,0,0,0.114768803724257,0.0587300560794785,0,-0.0136225364936964,0.140393646650859,0.0645132377250302,0.221784725805685,0,-0.107078756845761,0,0.0661999954922155,0,0,0,0,0
NEO,0.39297225172611,0,0.226980079289554,0.0753556458543369,0.528124456868454,0.465792483011157,0.456540653317587,0,0,0.127416852611479,-0.0792022380116114,0.28269808831951,0,0,0,0,0,0
BV010082.Index,0,0,0.0248069780337261,-0.0468088220221921,0.0802343683802448,0.0140792938251088,-0.115834318193652,0.0220340607996733,-0.0241878719554375,0.000679379034715484,0.0420523439443493,0.0843187471699384,-0.0133508078270222,0,0.120405904252377,0,0,0
CVIX.Index,0,0,0,-0.463052254278214,-0.324307881083911,0,0.140839044547921,0.0663381047323417,0,0.0292638046482716,0.0192563049922666,0.0846861011874737,0.187882811252058,0,0,0,0,0
DXY.Curncy,0,0.00975505047697802,0.0105881812703723,-0.0288466050461651,0.0223286268210076,-0.00183907391009003,-0.00627517508978942,0.000922249741776279,0,-0.00457430644500931,0.0053152170629144,0,-0.00355524339414141,0,-0.0112453938930971,0,0,0.00469051831134659
SPX.Index,0,0.0120795444058772,0,-0.00664411628137784,-2.71050543121376e-20,-0.00039620674135174,0,0.00451343059325332,-0.00115223748821947,0.00499151342038532,0.00532387073033645,-0.0165385898068751,0.000303775591982317,0,0,0,0,-0.0314903591408166
VIX.Index,-0.540430563336675,0.00477357450590661,0,-0.246493508328345,0.356870945028155,0,0.17241912986442,-0.107097389615934,-0.0219924527555323,-0.0535322275238859,0.225642930169176,0,-0.033316289343755,-3.26150736647452,-0.703649270922093,0,0,0
