,BTC,ETH,XRP,LTC,ETC,DASH,XEM,MIOTA,XMR,NEO,ZEC,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0351802514823054,0.0948767014794022,0.28307123218451,0,0.0784954446768653,0.0395862444123472,0.0826618693540946,0.0269014460223664,-0.00357860880324686,0.0174544887586705,0,-0.0675285859419859,0.125069267049243,0,0,0,0,0
ETH,0,0,0.0265850074279146,0,0.296136270049876,0,0,0.107704273301217,0.0321920859759621,-0.0571937319408714,0.153398017330183,0.271977752119105,0,-0.0156917836215147,0,-0.283125674708941,0,0,0.0523069492869615
XRP,0.145057584109252,0,0,0,-0.0576090093643603,0.455765669355397,-0.0217581238927522,0,0,0,0.0177919958317092,0,0.432455975012441,-0.0471311698929062,0,0,0,0,0
LTC,0.25117613707418,0.114583684606036,-0.0902826900029859,0,0.0988191615029464,-0.0589125310918334,0.262028401783236,-0.143688948092531,0.422530622009862,0.221149484070928,-0.145257227065018,0,-0.284164508598142,0.0583883086821759,0,0,0,0,0
ETC,0,0.274259284628935,-0.0950240909686648,0.308964682476218,0,0.290686045207787,-0.0829771371836322,-0.0441453959877234,0,0,0,0.114526924111415,-0.106708454269334,-0.0292836943310923,0,0,0,0,0
DASH,0,0.170022269273873,0.250126666343629,0,0.232581991832733,0,-0.219485695332526,0,0.329461768981299,0.0996314377548682,-0.0885836401601632,0.02737921970756,0,-0.0279072337306301,0,0,0,0,0.0721870343018538
XEM,0.699510302250351,0,0.2411918896738,0.217696748937835,0.0485604030243516,-0.0151696316495673,0,0,-0.102590542941696,0,-0.0426136745368298,0.0307619480666669,0.256586126845261,0.0365694597658961,0,0,0,0,0
MIOTA,0.33428917197999,0.105622058496954,0,0,0,0.510642924269185,0,0,-0.12879488291944,0.0611136616728083,0.122821407707389,0,0.286093616937863,0.113488751014208,0,0,0,0,0
XMR,0.114985539033925,0,0,0.394145346692602,-0.171791722001311,0.465161990364092,0,0,0,-0.179677959453829,0.0169574980593622,0.154464026458513,0.126325258321718,0.000436581098544088,0,0,0,0,0
NEO,0,1.022545033119,0,0.792907254217662,0.916092400716563,0.458418514349977,0.381483920559144,-0.664143170976577,-0.281630046832131,0,0,-0.696635991502406,0,0.214796627175061,0,-4.07845500538663,0,0,0
ZEC,0,0.175182672563786,0,-0.0453888964122741,0,0.0968663208575676,0,0.0449152466653712,0.0597400200382096,0.0875179775630919,0,0.191090568575932,0.18097556417845,0,0,0,0,0,0
DOGE,0,0,0,0.165468251363572,0.194818462924627,0,0.363623088401011,0,0,0.0240321770535208,0,0,0,0.161524961639497,0,0,0,0,0
XLM,0,0,0.691562000728986,0.143242307601489,0,0,0,0.138025808706217,0.217112996703419,0.0530325567738319,-0.103083152885269,0,0,0.0927644892504746,0,0,0,0,-0.159686179449711
DGB,0,0,0.19868660220616,-0.0342590417931522,-0.117900624457231,-0.195534027111839,0,0.217891256552199,0,0.141053028475388,-0.787789677188902,0.775198156345148,0.71561377952329,0,0,0.966210110341566,0,0,0.05237640493922
BV010082.Index,0,0,0,0.022475912539646,-0.0215149813248343,0,0,0.00461448975330298,0,-0.0188809001466376,0.0259716553784055,0.0124700863602323,0.0066488630280933,0.0135332212424314,0,0,0,0,0.0591804776979595
CVIX.Index,0,0,0,0.0239225426781136,0,0,0,0,0,0,-0.0682136997309231,0.0798002940495499,0,-0.0252593331539467,0,0,0,0,0
DXY.Curncy,0.0218868694084357,0.0113293312010088,0.00527037100164303,0,0.00679483842879284,0.0376648728227113,0,-0.00219752165399424,-0.0400455999007739,-0.00884542449847047,0,-0.0198741867606417,0.00080186783256181,-0.00219009894821244,0,-0.0152774417575848,0,0,-0.0290417009660199
SPX.Index,0,0.0103184509274748,0,-9.27655601236287e-05,-0.000331487757098296,0.012831302000914,0,-0.00386701026191016,0,-0.00308336663050696,0,-0.00786099724314939,0,-0.00109386794347439,0,0,0,0,-0.0589774211655141
VIX.Index,0.245369137575609,0.252168774073762,0.0466388926923038,-0.291851432594275,0.28910144336347,0,0.103889321187589,-0.039182682279077,0.0649908946839246,-0.140155073029603,-0.0786353535576009,0,-0.0937050220014765,-0.180973124434269,0,0,0,0,0
