,BTC,ETH,XRP,LTC,XEM,DASH,ETC,MIOTA,XMR,NEO,ZEC,XLM,DOGE,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.112920971989314,0.24647526148441,0.110295726793038,0.0499569675418006,0,0.028438869027811,0.056220074395998,0.0060014362113269,0,-0.0535164161542269,0,0.110933098944312,0,0,0,0,0
ETH,0,0,0,0,0,0.0141542139168978,0.311448270668208,0.165161459994007,0.043032300862067,-0.0600102871107781,0,0,0.262240046839143,0.0813013012474307,0,0,0,0,0
XRP,0.143414490380504,1.38777878078145e-17,0,0,0,0.456673227564563,-0.0777996203760065,0,0,0,0.0392167552735247,0.426106874874972,0,-0.0454446064886764,0,0,0,0,0
LTC,0.386774258734298,0,-0.107481736740332,0,0.0442374442621346,-0.113232515650297,0,-0.0833213768521228,0.234864457323723,0.190326287179848,0.0642353224280836,-0.143869834141479,0.324371029443313,0.00847930036102296,0,0,0,0,0
XEM,0.850644351512717,0.0120763756424043,0.213609719656398,0.222843223784241,0,0,0.0166977301996477,0,-0.122523201530912,-0.00489953254365272,-0.0170781068535358,0.273484489151426,0.000228578238703418,0.0219929732701531,0,0,0,0,0
DASH,0,0.168466519998773,0.253310704921042,0,-0.216503937452148,0,0.239648343097507,0,0.32972825284604,0.0951392712773534,-0.0888077230441231,0,0.0255340970928663,-0.0299237270201806,0,0,0,0,0.0768971954819393
ETC,0,0.239999676396167,-0.0847062414440843,0.27362742993784,0,0.268263093239366,0,0,0.13996028912396,0,0,-0.174337065784305,0.0344149101532394,-0.108320003647756,0,0,0,0,0
MIOTA,0.438792304977904,0.0968973904441069,0,0,0,0.367838218977516,0.0761595028866375,0,-0.147149497711815,0.0203953927612914,0.114093272556623,0.157996438936203,0.27676668922125,0.142298627869866,0,0,0,0,0
XMR,0.0274963664909201,0,-0.0564544120616245,0.367446993844764,0,0.474151537297143,-0.163644396467162,0,0,-0.170619371501579,0.0338884753976386,0.252987268544709,0.126557775484199,0.00697726329110789,0,0,0,0,0
NEO,-0.298550181042292,0.989234097392546,-0.838957407539078,0.316705269334259,1.02015907447348,0.0729609685223973,1.04115441948033,-0.538356868844637,0,0,0,0,-0.0729746221369391,0.181391727882691,0,-3.83063539590135,0,0,0
ZEC,0,0.239108547375533,0,-0.0487744166641438,0.0143442674699209,0,-0.00673371497668152,0,0.0541169852881866,0.0988574691579492,0,0.249810517544492,0.192237280601338,0,0,0,0,0,0
XLM,0,0,0.792346423999108,0.138515413344877,0.0816886125849143,0,0,-8.67361737988404e-19,0.121305742909208,0.0379949655826055,0,0,0,0.116598236446826,0,0,0,0,-0.337766921473447
DOGE,0,0,-0.0552201917299783,0.139641339049491,0.467618768643834,0,0.17415228796496,-0.0118767214209721,0,0.0226123853412528,8.67361737988404e-19,0,0,0.153010297858041,0,0,0,0,0
DGB,0,0,0.210769678843927,-0.0921888776294685,0.0396635177627131,-0.257785098782621,-0.0798493894816544,0.157829812948435,0.136082493045437,0.172305481085836,-0.742769222538605,0.750523638166212,0.687413464489872,0,0,1.22933402221134,0,0,0.0611066734913981
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,-0.148802315266312,0.0341106214120524,0,0.00761212455427097,0,-0.038633687777688,0.0650663741399402,0,0,-0.0319398030724723,-0.0535762879652106,0.0148648226698734,0.145051585728123,-0.0195228271139447,0,0,0,0,0
DXY.Curncy,0.00784914272232743,0,0.0176521351394672,-0.00219621314735818,0,0.0271869359733328,0.00874665902811242,-0.00459492809729786,-0.00821312680566474,-0.00792257417110094,0.00534655207209115,-0.0142318957269037,-0.0138453866245467,0,0,-0.0198944995095604,0,0,-0.029752692074233
SPX.Index,0,0.00739622091305063,0.00324918414782026,-0.00319895923712606,0,0.00439070088223197,0,-0.00636812217347807,0,-0.00190271260887341,0.00126276173438828,-0.00219433812359698,0,-2.71050543121376e-20,0,0,0,0,-0.0684906598595047
VIX.Index,0.33131011961274,0.187507711020241,0.194155379580322,-0.449794696394418,-0.132109557652713,0,0.0768853018735819,-0.127824416955085,0.0373036906981343,0.0293897409925806,0,-0.0511916786796616,0.121121211036357,0.0264003174845721,0,0,0,-3.50239750639627,0
