,BTC,ETH,XRP,LTC,XEM,DASH,ETC,MIOTA,XMR,NEO,ZEC,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.123175462843766,0.201284158307297,0.131806789781959,0,-0.0116964092812337,0.0438162180604685,0.163093724156616,0.00718975800932505,0,0,-0.0851203742858308,0.102789280596225,0,0,0,0,0
ETH,0,0,0.0212952089813102,-0.0724824355233303,0,0,0.387855168584342,0.16205473872407,0.0395495247469938,-0.0529258284717991,0.0698364298703191,0.237100244916306,0,0.0822354512062258,0,0,0,0,0
XRP,0,0.235882221903741,0,0.0630382188046268,0.209957287946613,0.526781758116252,-0.486266041733098,0.104383921433854,0.0493657472391165,0,0,6.93889390390723e-18,0.249566394354909,-0.046898029607205,0,0,0,0,0.121188252704524
LTC,0.278877838846735,-0.0415804472732618,0,0,0,-0.10304981587602,0.237124160679178,-0.0303451496747098,0.027546767901784,0.121947162630571,0.0207381089094232,0.155939849001159,0.032932305315751,0.012507004471281,0,-0.0232521968329279,0,0,0
XEM,0.142340526399244,0.0109705530994281,0.320248290843482,0.198347031271277,0,-0.0961487108337102,0,-0.0588809226494499,0.336273877974141,0,0,0,0,0.0700840972073269,0,0,0,0,0
DASH,0,0.191636777767461,0.111040366965473,0.365300119781459,-0.0469950453357805,0,0,0,0.345856740737361,-0.0234885261833096,0,-0.154874988045484,-0.187207293302557,0.154496713815631,0,0,0,0,0
ETC,0.0599751572433405,0.220571723575322,0,0.211544603319469,0,0.0878778747292077,0,0.017582304005784,0.21969426295671,0.00624885520557036,0,0,-0.254797543015152,0,0,0,0,0,0
MIOTA,0.283462792881244,0,0.00526337715059097,0,0,0.208579581302606,0.248659030638811,0,0,0.0111166460245746,0.122761699211345,0.328938838979805,0.150833027560685,0.159153122420762,0,0,0,0,0
XMR,0.0921139043240645,0,0.0215790281078875,0.0602851760508112,0.0709716105076767,0.401238715001236,0,0,0,-0.0083720397038598,3.46944695195361e-18,-4.33680868994202e-19,0.21067157540274,0.0299061990251711,0,0,0,0,0
NEO,-0.486937287050182,0.449738448082548,-1.62602773486869,0,1.24069003732119,0.762002583903873,0,-0.261576483972951,0,0,0.623285730208246,-0.345573590565143,0,0.114090383966956,0,-3.40033967064139,0,0,0.331249886575261
ZEC,-0.00101196710229202,0.19406700838083,0,0,0,0.0727395823654047,0,0.0507671049976794,0,0.0581691689071889,0,0.147334669662061,0.253034596126825,0,0,0,0,0,0.104758064560797
DOGE,0,0,0,0.0852493187260805,0.443237968332465,0,0.123105632956212,0,0.0987623669887801,0.00151570787054067,0,0,-0.0130157308392122,0.113641619474899,0,0,0,0,0
XLM,0,-0.0671109753860414,0.676682261733409,0.154338995179284,0,0,-0.0555954541775489,0,0.384027138490936,0.0456724698966831,0,0,0,0.113947777804139,0,0,0,0,-0.263690885606863
DGB,0,-0.295665143270939,0.295498902713683,-0.0253524432902631,0.0242086195806967,-0.265374538979774,0,0.373062645807281,0,0.082972210935054,-0.696350592912977,0.755714670974891,0.595764565816442,0,0,0,0,0,0.417023421682522
BV010082.Index,-0.142231191017331,0.0209618529030256,0.0182743465177447,0.0535947487515027,-0.0305656558561381,0.00499331887405545,-0.0415609870758131,0.0145969959377986,0.0207594676544898,-0.0090312215558012,0.0283041468295872,0.00913573296287344,0,0.0175956782702801,0,0,0,0,0.0610850206517369
CVIX.Index,-0.0694293052454694,0,0.0776653245596738,-0.00893144848135824,-0.027551644009895,-0.0440994399843861,0.0395171195480675,0.0309303815273496,0,-0.0218911369618851,-0.0925224562335808,0.150829964515032,0,-0.0177545311293669,0,0,0,0,0
DXY.Curncy,0.00302499023925993,0,0,0.0041862629811597,0.00427204929475155,0.00563683053282947,0.00641829609660482,0,0,-0.00779416656153538,0.0121290425071286,-0.00972794234447328,-0.012604675222953,0,0,-0.0250790007319301,0,0,-0.0197964674315396
SPX.Index,0.0064059947437098,0.00179889362059513,0.00815485526262544,0,-0.00366403740182444,0.00545694809742634,-0.00047426197786978,-0.00497724624409754,0,-0.00170864390629007,0,0.00576153665341017,-0.0108060295242593,0.00452744964961387,0.0781107438550926,0,0,0,-0.0696759617036242
VIX.Index,0.142573591741718,0.225716058582157,0.434488840670799,-0.322111361342044,0,0,0.298190291325576,-0.203802686895587,0.233900856135545,0,-0.116704742280127,0.0798728167057301,-0.373273133239085,0,0,0,0,0,0
