,BTC,ETH,XRP,BCH,LINK,BNB,CRO,LTC,BSV,ADA,EOS,TRX,XTZ,OKB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0684701176167837,0,0.0341094453312149,0.0301559170216668,0,0.223259632628232,0,0.202694325498262,0,0,0,0.021936698968197,0.0667211855042956,0,0,0,0,0
ETH,0,0,0.572267773893876,0,0.138579619861883,0,0.403485658032265,0,-0.0613384600155317,0.170444589158043,-0.0512171020198355,0.114298338301793,0.0111441750904344,0,0,0,0,0,0
XRP,0,0.206685602533539,0,0.359187598088967,-0.0108626455193865,0,0.117913832403248,0.0517103031366175,0,0,0,0.0693637516565778,0,0.068753058482008,0,-0.0630501857645628,0,0,0
BCH,0.272254784306981,0.0881045935764603,0.0767188736566964,0,0,0.039985233297414,0,0.263922359071506,0.248734664385866,0.0103555008257766,0.152039218944414,-5.42101086242752e-20,0,0.0298549533651935,0,-0.0276573394172423,0,0,0
LINK,-0.464643973678083,0.939495317639764,0,0,0,0.0753431030994841,-0.0237021416931327,0,0.20459383865883,0.039976758247982,0,-0.310080168126478,0.353093587323501,0.214474705357594,0,0.227104844959583,0,0,0.187352047877162
BNB,0,0.0981745202057764,0,-0.0944989809590907,0.111137426606203,0,0,0,-0.205363406968851,0.247900187414834,0,0.334622868578824,0.184805848457235,0.80786478261571,0,0,0,0,-0.18912349423543
CRO,0.57834658984324,0.215096723779273,0.0795939990120481,0.117145013000056,0,0,0,0,0,-0.201976929401915,0,-0.0955219093718388,0,0,0,0,0,0,0.00887005487745525
LTC,0,0.12766541532716,0,0.265549147737354,0.0506167240722901,0,0,0,0.29005022094274,0.043127444054178,0,0,0,-0.0318010569420323,0,0,0,0,-0.164283479847937
BSV,0,0,0.039666620502411,0.758775119238746,-0.0110837791937578,0,0.0113555270916283,0,0,0,0.0217082082461464,0.0322777230889576,0,0.133031139644673,0,0.164163758910299,0,0,0
ADA,-0.609263614045632,0.403193824324412,0.0280560673126665,0,0.119443677191502,0,0,0.168845453340313,0.28052906928881,0,0.0525240527669439,0,0.165144127338067,0.0324062609528934,0,-0.113373867358286,0,0,-3.46944695195361e-18
EOS,0,0.0974039709264746,0,0.509024706021281,-0.0122567512112455,-0.0153703841481412,0.100344786245356,0,0.0482322800098265,0,0,0,0.271090962743946,0.0325043359480812,0,0,0,0,0
TRX,0,1.08287199911314,0,-0.477360820840213,-0.0471034154871571,0.0389684081841514,0,0,0.525653012734735,-1.73472347597681e-18,-0.555341040797425,0,0,0.17134060960038,0,0,0,0,0.0276975565107846
XTZ,0.603083919440248,-0.671606704696819,0.110049378329219,0,0.458266055230429,0,-0.16231105902435,0,0,0.602300924059009,-0.221037870901622,-1.73472347597681e-18,0,0,0,0.310837314538358,0,0,-0.250115764395342
OKB,0.164775966593802,0.0384268246412823,0,0,0,0.0731178277250453,0,0.0524036715668592,0.286631677572258,0.0441352323403236,0.0139038334149576,0.0647911267433652,0,0,0,0,0,0,0
BV010082.Index,0.037336945208326,0,0,0,-0.00690332453991013,0.0382773783323901,0,0.079246542888322,0,-0.0124609056153594,-0.129753601521473,-0.00713055004456241,0.0239161195776661,0,0,-0.0101860611866266,0,0,0.0319592559270174
CVIX.Index,0,0.0501756565248943,-0.355860549483543,0,0.0630811397040182,0,0.170752447011387,0,0.317550413288106,0.1091522909932,-0.209923195053793,0,-0.150226522650753,0,0,0,0,-0.971248143002252,-0.19003279394498
DXY.Curncy,0,-0.0117688523274784,0.0115133834823245,0.0603485251053441,0.00168892021250937,0.0207498854875834,0,0,-0.0940557175988005,0,-2.16840434497101e-19,0.0042579265231529,0,0,0,-0.0174290595037772,0,0,0
SPX.Index,0.100601421370726,0.0771099379668274,0,0,0.0667823962903541,-8.67361737988404e-19,0,0,0.0414555800193901,-0.205241412785577,0,-0.0158174634755169,-0.0503572955980243,0,0,-0.235744693200663,0,0,-0.113188097463193
VIX.Index,0,-0.374462229713892,0,0,0.264230686874626,-0.056016751720403,-0.738350440906023,0,0,0.538263007599357,-0.221708287601242,0.212384270814972,-0.560693026457195,0.186229801801276,0,-0.20608649025098,0,-1.56739074973738,0
