,BTC,ETH,BNB,DOT,ADA,XRP,UNI,LTC,LINK,BCH,XLM,WBTC,DOGE,THETA,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.122029156476629,0,0,0,0,0,0,0,0,0,0.663828735527136,0,0,0.0145421468890004,0,0,0,0,0
ETH,0,0,0.00394522805053572,0,0.0177587573239585,0.0456268518471024,0.0786070854454278,0,0.100830282821658,0.147313370538233,0,0.569614953763818,0.0202596605551384,0,0,0,0,0,0,0
BNB,0,0.0787251214318986,0,0,-6.93889390390723e-18,0.291715973835725,-0.479232322749187,0,0.279240711355047,0,-0.0730854529331472,0.592289068137204,0.0169371172000408,0,-0.0312667413380956,0,0,0,0,0.117342287089817
DOT,0,0.0469449225485937,0.125937419922702,0,0,0,0,0,-0.0563864356380933,0.156535503988496,0,0.0632379028864151,0,0.128084072630136,0,0,0,0,0,-0.0219310619831113
ADA,0,0.3085274627664,0,0.0974339772985099,0,-0.0301086998474667,0,0,0,0,0.250150547285809,0,0.0606744973748778,0,0.109029830436082,0,0,0,0,0.0330217305260475
XRP,0,0,0.0552505411234157,0,0,0,0,0.500173334416727,0.0316194329583367,0,0,0,0.0387546259574855,0,0.121978548498362,0,0,0,0,0
UNI,0,0,-0.078483430645766,0.391261745781057,0.0772524772088579,0,0,0,0.151709397872432,0.0267056393998801,0,0,0,0.167680192145086,0,0,0,0,0,0.155057955953404
LTC,0,0.393652384450218,0,0.0685924934374667,0,0.0536590231213836,0.0695869096427485,0,0,0.161625918647343,0,0,0,0.106261198166221,0,0,0,0,0,-0.104342110910925
LINK,4.33680868994202e-19,0.0846740008137117,0.137136912192581,0.130302260114097,-0.127533069883241,0.0297347509166672,0.0442428123541001,-0.115558076880061,0,0,0.390095217684756,0,-6.93889390390723e-18,0.0829852424669468,0.155218533884525,0,-0.24552709581195,0,0,0
BCH,0,0.212934668703927,0,0,0.00720355179806077,0.167643338817762,0.0868636520431642,0.357356479192904,0.142970302170915,0,0,0,0.0393001459495753,0.230625106100431,0.0145694067299633,0,0,0,0,0
XLM,0,0.223340989068806,0.0834356239501951,0,0.206310493875529,0,0,0.134114107568239,0.110762811242864,0,0,0,0.0598512850770659,0.0740217846586667,0.0698690545888049,0,0,0,0,0
WBTC,0.821641441205808,0.0519414759965388,0.0248912287388557,0,0,0,0.0189824514093184,0,0,0.0193329554699651,0,0,0,0,0,0,0,0,0,0
DOGE,0,0,-0.0709989763025449,0.486908886114408,-0.607516980601993,-0.665104149542974,-0.342293809245505,0.27084603913743,0.61563133370162,0,0,0.294360621509267,0,0,0,0,0,0,0,0.197690173672195
THETA,0,0,0,0.162515248129696,-0.00681478535529607,0,0.0285982321844833,0.0288141218010772,0.229900960456631,0.126184451406604,0.101553632712521,0,0,0,0.150654093696681,0,-0.711561657722496,0,0,-0.0271698025722032
XEM,0,0.449455641112793,0.158612737376648,0.0454136482909645,0.191426298350646,0.119124579268834,0,0.12503051345764,-4.33680868994202e-19,0.202628843749706,0,0,0.0111230787009207,-0.09379002013788,0,0,-0.0712658741102788,0,0,0.117775607505334
BV010082.Index,0,-0.0054745196360046,0.00837062356939887,0.00670651477917681,-0.0398745315117741,-0.00491694652495827,0,0.0164627323237476,0,0.0164887370887156,0,0,0,0.00635589426640952,-0.0193075253415415,0,-0.0611846043884213,0,0,0.00484609896185817
CVIX.Index,-0.0883327958800496,0,0.0532274598955893,-0.0665410420135266,0.106050215836157,-0.0822568425847342,0.0280393204774229,0.0976686287204507,-0.0229666851767597,0.0690838494709299,-0.104946886929426,0,0,-0.0293968544291196,-0.132555940302101,0,0,0,-0.167344951827912,0
DXY.Curncy,0.0161183409009792,0.00151126589051731,-0.00995956973983727,0,-0.00349835461354542,0,0.00164524849052469,0,0,0.00352559227201451,0,0,0.000937444509101297,0,-0.0055079194013369,0,0,0,0,0.00870985240459436
SPX.Index,0,0,0.00290062673094919,0,0,-0.0134321332833879,0,0.00139487938442863,-0.00227903878406926,0.0119996964053255,0,0,-0.0183731481614943,-0.0162384400457535,-0.00476234641385523,0,-0.0251806018501123,0,0,-0.0818636632685514
VIX.Index,-0.219977365207445,-0.150372583389534,0.119077388453009,-0.165328038564095,0.0951522030996307,0,0.157334616237465,0,0,0,-0.2388185542609,0,-0.015519609718546,0.133226384899639,0,0,0,0,-4.85696025716566,0
