,BTC,ETH,BNB,XRP,ADA,DOT,UNI,LTC,XLM,LINK,BCH,THETA,DOGE,FIL,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.289940364113525,0.00676977154497097,0,0.00754056531131829,0,0.00898114949933667,0.194304740085378,-0.0690275485878494,0,0,0.0499185436695561,0.0525714499131259,0.0933407787310573,0,0,0,0,0,0.00183354552221061
ETH,0.357984518192127,0,0.0191103041396194,0,0.0492260685170032,0,0.025915325346531,0.0837412156092983,0.083068719200904,0.0390808105507871,0,-0.0319476151529433,0.127302236740803,0.0222306198664363,0.0377537244533752,0,0,0,0,-0.0813072116249125
BNB,0,0,0,0.0629174163806331,-0.066494946531226,0,-0.398033532912755,0.0482866164008293,0.629103442299875,0,0,0,-0.24974976907986,0.304960088999727,-0.0711830050859735,0,0,0,0,0.000255562936815687
XRP,0,0,0.0659889594338767,0,-0.0812027803452398,0,0.0876918624108353,0.202809441102911,0.651906886615163,0,0.0959101306333384,0,0,0.123599524443038,0.0734624245774883,0,0,0,0,0.052958662710218
ADA,-0.137207877956558,0,0.157509209875111,-0.0120836640859257,0,0,0.110051276684543,0,0.0376713954099013,0.404365024016361,-0.297597007490327,0,0.113927155879573,0.345124929228721,-0.116115555908492,0,0,0,0,0.106213477500461
DOT,0.0369083044999748,0.397894960092199,0,0,0,0,0.0879073196499219,0,0.34123401207585,0,0,0.0123628302770944,-0.107943756364254,0.0854100824558066,0.0245904581698418,0,0,0,0,0
UNI,0,0,-0.102332245680868,0.117626769254513,0.189972240801946,0.314412446407168,0,0,0.0477885853284266,0,0,0.0127190965888658,-0.166584462994476,0.0555055552458394,0,0,0,0,0,-0.103726783066219
LTC,0,0,0.0374327317106363,0.178912599001601,-0.130071748046782,0.205966753846273,0,0,0.101699589550808,0.192048965600428,0.138221241143827,0.0493959516857383,0,0,0.0259517537111883,0,0,0,0,0
XLM,0,0,0.052927559611038,0.0580627030276031,0.0428779961707637,0,0.071078221919456,0.206567130121657,0,0.25361340783414,0,0.10400065718522,0.068925531575718,-0.0123956954428019,0.131211553528248,0,0,0,0,0
LINK,0,0.432883569342955,0,0,0.094371858369186,0.0775620500422416,0,0.00630591870828428,0.0744029509624222,0,0.329013932787118,0,0,0.0487315114044492,0,0,0,0,0,-0.0474699547901594
BCH,0,0.318136259151695,0,0,0,0,0,0.245234564764917,0.129090969225242,0.210090902769508,0,0.0245576019585589,0.000565994391805115,0,0.106117452294923,0,0,0,0,-0.0703193357113769
THETA,0.436101380534916,0,0.0273413446988427,0.13828925461906,0,0.404948281520243,0.0360392665148946,0,-0.208595972088821,0.0227751102593075,0,0,0,-0.249864651350583,0.0674510122346771,0,0,0,0,0
DOGE,-0.0146043263310525,0,-0.102750336912489,0.312799510131166,0.101428396605497,0,0,-0.12973676497303,0,0,0,0.0510786157415608,0,0.10842321066315,0,0,-0.138992323172181,0,0,-0.109489722247858
FIL,0.407059716167233,-0.225668419652683,0.0540117081855139,-0.140784683609889,-1.73472347597681e-18,-0.139509506393875,0.0358793115320627,0,0,0,0,0.0978654667412678,0.132958124630808,0,0.29267155753799,0,0,0,0,-0.388208425534414
TRX,1.52801901272852,0,-0.137274081629942,-0.0106605608956589,0,0,-0.0649098793368549,0,0.706938158495746,-0.366378337574125,-0.0825472403377173,0.0312899954449869,0.0655980552879195,0.00632974410661023,0,0,0,0,0,0.231586147559788
BV010082.Index,0,0,0.0104464148047277,0,-0.0701325133873938,0,0.0167973056625378,0,0,0,0,-0.0369479971788904,0,0,0,0,0,0,0,0
CVIX.Index,0.122205785451035,0.0504045090883579,-0.0578441895222344,0,0.0901928483041787,0.0435726986347152,-0.114115838930786,0,0.0771934959754761,-0.19343498118374,0,-0.0820204030968109,-0.0496984207907706,-0.0377788536372665,0.0276861065141126,0,0,1.08307588725433,0,-0.0468197260670747
DXY.Curncy,-0.00571250791773886,0,0,-0.0120509088132721,-0.0134469318767766,0.00225979855042134,0.00866913168198218,0,0,0,0.0185963118731992,-0.000866606941078691,0.00306009390004241,0,0.0052473123685025,0,0.087711467311256,0,0,0
SPX.Index,0,0,0.000242123178363822,0,0.00650833104262585,0,0.0114048884714515,0.0288265807632501,0,0.0065522869339831,0,-0.0223419632630812,0,-0.022297218623443,0,0,-0.0259417769240704,0,0,-0.0789909507801905
VIX.Index,0,0,-0.0833241814734886,-0.0176011438309508,0.0480925437402415,0.414073811587987,-0.296099789373629,0.114212654989843,-0.112573523908165,1.38777878078145e-17,0,0.00269860619495202,0,-0.0447545012226066,0.0879287685022385,0,0,0,-3.92032259814179,0
