,BTC,ETH,BNB,ADA,XRP,DOGE,LINK,CRO,BCH,XLM,OKB,TRX,THETA,ETC,XTZ,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0597006447581918,0,0.0769468987620408,0.168874649242491,0.0893800641112607,0.051707503605725,0.283786573435343,-0.0958899017985433,0.0141410648990456,0,0,0,0.0420512710944204,0,0,0,0,0.00237942418389952
ETH,0.399028808489234,0,0.190447942072581,0.058636423655587,0,0,0,0.0313746812092985,0.142653777440107,0,0.071974592147688,0,0,0,0.022684441411621,0,0,0,0,-0.0294542162236893
BNB,0,0.510371013840147,0,0,0,0.0741259744374521,0.00777299778705084,-0.0632593996004558,0,0,0.0604231036969661,0,0.207703933111912,-0.0362157484291716,0.0431984337489062,0,0,0,0,0
ADA,0,0.0736128431193132,0,0,0.308525127480799,0,0,0.0108594945102177,0.0690775767506095,0.205049919591357,-0.0114543877004009,0.0698591321467611,0,0,0.0527341545962528,0,0,0,0,0.0335947047141747
XRP,0,0.115326652227098,0.308237687523902,0.186678461554983,0,0,0.165130732007611,0.0537058623585295,0.109059775668423,0,0,0,0,0,0.0293026557162515,-0.0668222087693092,0,0,0,0
DOGE,0.404610567657945,-0.153894787877758,0.124340851001886,0,0.198369445247038,0,0,0.0513545235998667,-0.0215890985920178,0.195830118324429,0,0,-0.0270699922616361,0,0.0316915099063115,0,0,0,0,-0.0880993618844866
LINK,0.317548896721863,0.165160308020939,0.0549819718404109,0.0742059601754488,0,0,0,0.0467015661933532,0.070036465384648,0.208213830727341,-0.0028099101843166,-0.0160398574289342,0.186673769664456,0,0.129942511474724,0,0,0,0,-0.136425716296941
CRO,0,0,0,0,0.888182276082133,0.039778089578369,0.136500554199143,0,0,-0.34764082862839,0,0,0,0,0,-0.215859447528528,0,0,0,0.245692582767787
BCH,0,-0.0580267081183135,0,0.0738504436154814,0.210639710997526,0.121430398393404,0.0829732399342664,0.0198730978518257,0,0,-0.0292801215929796,0.260802032732876,8.67361737988404e-19,0.262057417458807,0.0131636407734415,0,0,0,0,0.023021315555498
XLM,0,0,0,0.184548646283114,-0.053010240716099,0.118502578960068,0.236465772073994,0.0649998418131241,-1.73472347597681e-18,0,0.0189044086797719,0,0.0180604798337519,0.472119084884667,-0.0644815008475099,0,0,0,0,0
OKB,0,0.384756218086512,0,0,0.468236834455389,0,0,0.0178926685637894,0.145443419156859,-0.297844736805573,0,0,1.73472347597681e-18,0,0.0562868351931206,0,0,0,0,0.0264999516738779
TRX,0,0.258660151161543,0,0,0,0.136282305151712,0.224775254772294,0.0128827177079758,0.115464501699386,0,0,0,0.180149915133979,0,0.0856930229456174,0,0.126623170187047,0,0,-0.0616736105418449
THETA,0.064616752032897,0,0,0,0,0.152136669111333,0.241855931009608,0.0832809885408576,0.21080815711204,0,0,0,0,0.50546644532198,0,0,0,0,0,0
ETC,0.222455992086638,0,0,0,0,0.123334694240097,0.103504295968845,0.033766460272746,0.217189747265389,0.117831665156415,0.0111052556379259,0.0925110343530222,0.086143168527482,0,0,0.0692610684847595,0,0,0,-0.0622729840031698
XTZ,0,0.549954236664396,0.298873674187953,0.258382459190241,-0.0184499241357687,0.333105687933186,0.150024553141705,0.0104346761115494,0,0,0,-0.116019525714226,0,0,0,0,0,0,0,0.0252866720106402
BV010082.Index,0,-0.102071120068515,0,-0.128117834199927,-0.0768961290366704,0,-0.0548583798085862,0.00986788223336834,0,0.0471542382190673,0.03156698058438,0,0.0734222177813004,0,0.0854507427868288,0,0,0,0,-0.0896794006644186
CVIX.Index,0.134782763071346,0,-0.140916422055358,-0.068876575236089,0,-0.0899534387083412,0.0550571549554296,1.73472347597681e-18,0,-0.0719724958597749,0.0474319985983217,0.259961304084138,0.00466475954040961,-0.012984024767661,0,0.228127913117222,0,0,0,-0.00451445410447955
DXY.Curncy,-0.053611406628186,0.0485996147983611,0,0,-0.0437622050006723,0,0.0107788982317836,-0.0116024412709866,0,-0.0299008968309664,0.0116502417483992,0.0258547662191015,0.02335889252752,0,0.00494328552460697,0.00725498606547026,0,0,0,-0.00538613302315853
SPX.Index,-0.0158034056796218,0.0220711784760361,0,-0.0173474290635236,-0.0552876826249048,-0.000347203679236996,-0.0164409939150713,0.00614438417446751,0,0,0,0,0.0337569017783506,0,0.0247934046675838,-0.0339334440601125,-0.0105052750061808,0,0,-0.0776385261595268
VIX.Index,0,-0.650817591782315,0.213679057037947,0.268973015597557,-0.769066620905592,0,-0.102479343381781,0.198370045301,0,0,0,0,0.15227529176656,0,0.0246725341947812,0,0,0,-4.31357985522445,0
