,BTC,ETH,BNB,ADA,XRP,DOGE,CRO,LINK,OKB,BCH,XLM,TRX,ETC,THETA,XTZ,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0264662602090331,0.0404131869651453,0.157733435474182,0,0.0789787631692827,0,0.0749201165714873,0.272403673118091,0,0,0.0564729544495012,0,0.0321234945635213,0,0.160244139987477,0,0,0.0115843705661887
ETH,0,0,0.134915271965246,0,0.0488468479010688,0,0.389214657599392,0,0.111457995652288,0,0.0505328566901562,0,0,0.0675247170786845,0,0,0,0,0,-0.0364401477169673
BNB,0,0.149919903150302,0,-0.0430392122663575,0.162495752166995,0,0,0,0,0.271508350335565,0.0972818916351237,0,0.154419988699216,0.0459875922678075,0.000463781190715026,-0.306766516366013,0,0,0.181842083586902,0.0167910165764028
ADA,0,0.0810733557295493,0,0,0.481771453066886,0.165992001963286,0.136053991279874,0.159120954921928,0.0845726419281628,0,0.211504605186917,0,0,-0.355484836487582,0,0,0,0,0,0
XRP,0,0.126834062473769,0.211575805229651,0.139704082179947,0,0,-0.102915431734898,0.161136905009913,0,0.338611058878355,0.103511372718081,0,0,0.0639591037180047,0.0237087431040564,0,0,0,0,-0.0231603368330685
DOGE,0.190774560983409,-0.070880350318896,0,2.71050543121376e-20,0,0,0,0,-0.16181463453008,0.205192343523062,0.353966443319945,0.0494066197605782,0,-0.102671284480566,0.0830846020749067,0,0,0,0,-0.123148094545718
CRO,0.161867065065445,0,0.38682179501454,0.135958346741768,0.223603696803196,0,0,0,0,0.0690777669306861,0,0,3.46944695195361e-18,0.197383383597683,-0.162467593748929,0,0,0,0,0
LINK,0,0,0,0.0419738354309577,0,0,0.275480257214624,0,-0.0934512443731604,0.140703773308229,0,0,0.0602436043687626,0,0.327857563553971,0,0,0,0,-0.0456327280714582
OKB,0,0.371194606999893,0.238294544548456,0,0.306028068886334,0,0,-0.106308430821337,0,0,0,0,0,-0.0966595327472281,0.1883346687312,0,0,0,0,0.0719326865710738
BCH,0.146463942859037,-0.0283454562167359,0,0,0,0.138896550101226,0.0522610721832827,0.0349509431541606,0.0366966654011932,0,0.0533950016128057,0.102247315723285,0.25949310071108,0.0852990584992234,0,0,0,0,0,-0.0307487688437794
XLM,0.586253909697648,0,0,0.215810046006991,0,0,0.133197952724168,0.0703873480332672,0,0,0,0,-0.0111750880875167,0.232898951805594,-0.0276688482400122,0,0,0,0,-0.0319654895214053
TRX,0,0.135915612652911,0,0.151060125140777,0,0.0621122679879875,-4.33680868994202e-19,-0.0109166384038987,0.0659314711166239,0.201159935990515,0,0,0,0.0433231797315316,0.0798557793446978,0.479009622865391,0.352606068401235,0,0,0
ETC,0.137503828302305,0.023979114488464,0.00327891981264331,0.0389419925257816,0,0.161701253353451,0.0115301661298388,0.0802323493144803,0,0.17276826988747,0.166448572325094,0,0,0.120049342840458,0,0.14301527993987,0,0,0,-0.0846904006500693
THETA,0,0,0,0,0.170208262480274,0,0,0.2864389375685,0,0.685318582974049,0,0.146071937425447,0,0,-0.0686136242622687,0.324864030818929,0,0,0,-0.0873200440559062
XTZ,0.155928483748826,0.497510029235063,0,0.153431522966911,-0.0105598268653168,0.421715170131733,0,0.171384911999656,0.114578042650454,0,0,0,0,0.0509646863073095,0,0.158332263527406,0,0,0,0.00545776269059597
BV010082.Index,0,0,0.0204445867849959,0,0,0,0,-0.0380183117288981,-0.0759633280893994,0,-0.019726075835165,0.0766208083583363,-0.034347683440448,0.0935563263248045,0.0135525081856229,0,0.0331388927023453,0,0,5.42101086242752e-20
CVIX.Index,0,0,-0.363620520441384,-0.0875167727022898,-0.0804527213090081,-0.0894429464226482,0,0.00773149529052275,0.0459598173356616,0,-0.0794138858275708,0.675812246604202,0,0.0652319563428172,0,0,0,0,0,-0.0118991150610321
DXY.Curncy,-0.0374459274521387,0.0650867314715557,0,-0.0143763228068898,-0.00342352627507355,-0.0436563229027351,-0.0200553921610192,0.00680536293681611,0,-0.0165628290670247,0,0.0455677298725624,0,0.0202485673059066,0.00453334566179551,0,0,0,0,-1.35525271560688e-20
SPX.Index,0,-0.0198946000402539,0.0774212397979402,-0.00550346611998328,0,0,-0.014259862891164,-0.0197417579996169,0.0334311274759798,0,-0.0325680936987231,0,0,0.00514304042388346,0.0166305869776633,-0.027095514221907,0,0,0,-0.089035595853547
VIX.Index,0,-1.05046158289871,1.01800723909416,0.427330308025254,-0.832355528405107,0,0,-0.314829929710508,0,0,-0.179821775203302,0,0,0.465983180188956,0.107697619075727,0,0,0,-5.99616125053889,0
