,BTC,ETH,BNB,XRP,ADA,DOGE,CRO,LINK,BCH,OKB,XLM,TRX,ETC,XMR,THETA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.147366084369053,0,0,0,0,0.126400278337138,0,0.167356840426976,0,0.133461431865211,0,0.205225768128754,0,0.0182847592049373,0,0,0,0,0.0718980171029503
ETH,0.272867184090095,0,0.254930246105352,-0.00820489057163568,0.0656497266369594,0,0,0.268675641014068,0,0.12522208507569,0,0,0,0.101657325097999,0,-0.017474883880844,0.12097103614491,0,0,-0.0403134052787043
BNB,0,0,0,-0.121544015956945,0,0.416106021400599,0,0.139706424267331,0.428921479856357,0.0517656336406047,0,0.0405146187127616,0,-0.0255457159781991,0.0588912127177173,-0.102606192420563,0,0,0,0.0660347085067313
XRP,0,0,0.124471998058856,0,0.054412737529212,0.0628042589518989,0,0.0919810966260083,0,0,0.652078934192762,0,0,-0.00243407577214735,0.0328137786853125,-0.104252479516635,-0.138822425261768,0,0,0.135293789026647
ADA,0.308072487994618,0.0651841500020717,0,0,0,0,0,0.187172539544123,0,0.0855712615713934,0.324200367627519,0.600646533259301,0,0.0380781881563825,-0.387277486171207,0,0.191760828953813,0,0,-0.0976567174779858
DOGE,0,0,0.272744742437619,0.157121097781268,0,0,0.314774568113451,0,0.0242902889247067,-0.139884237380248,0,0,0.0141481838493242,0.0958014484883549,-0.0854242615169006,0.0191363676511138,0,0,0,0
CRO,0.0661267776380205,0,0,0.0163050374784987,0,0,0,0,0,0.27733667200335,0.526977783671102,0,0.238562305942884,0,0.0845631657643913,0,0.100549841296863,0,0,0.0757298655277311
LINK,0,0.0309722709268832,0,0.310820471398002,-0.0169448904380839,0,0.120199290485869,0,0.172950046723816,0,1.73472347597681e-18,0,0.130417712389253,0,0,0,0,0,0,0
BCH,0,-0.0598121483815696,0.200668845112599,0.0915531160001326,0,0,0.235693157258564,0.105028882025411,0,0,6.93889390390723e-18,0,0.103103559552455,0.0899722200272281,0.086594017678845,0.113354447604416,-0.0127994497351737,0,-0.476819386793862,-0.170813750987076
OKB,0,0.398803861302847,0.0922986591764693,0.280871737343931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0725314856344769
XLM,0.231198372356677,0.0857016360966474,0,0.355752558123928,0,0,0,0.0262070781219189,0,0.0124260062585534,0,0,0,0.0963494866347836,0.133590775226962,0,0,0,0,-0.0500003236648717
TRX,0.0585224550461549,-0.0557660815440321,0,-0.126749618318504,0.210630659294732,0,0.212341288491637,-0.172075857495413,0.578218937069064,-0.130938464234236,0,0,0,0.0991186219531561,0,-0.0112609853729041,0.131951177718075,0,0,-0.0334666035692815
ETC,0.0937797302839927,0,0,0,0.134710618972131,0.391625192121326,0.160322962498665,0.112145714098523,0,0,0,0,0,0.0461585098008961,0.0661059780557731,0.0371273919391698,0,0,0,-0.0427002328563564
XMR,0,0,0.193601199671729,0,0,0,-0.15783090035067,0.243105285531337,-0.0814364893092827,-0.0857233615547101,-0.357393153172398,1.00681789080207,0,0,0.165472688663258,-0.290192287093027,0,0,1.01184078451427,0.228605987745273
THETA,0,0,0.108519233941798,0,0,-0.0298326810912645,0,0.506093639304333,0,0,0.528315327447149,0,0,0.298297959812342,0,0.106400847004576,0,0,0,-0.293135230446454
BV010082.Index,0.3167996703247,0,-0.214303961558057,-0.0876077452004204,0.0572604467491821,0,0,-0.263848781364083,0,0,0,0.105074267346632,0.422865098478257,-0.125658411347367,0,0,-0.00602722363853181,0,0,-0.202748486047111
CVIX.Index,0,0,0,0,0,0,0,0,0,0,-0.0660810875850763,0,0,0.155016816148848,0,0,0,0,0,0.251796762561084
DXY.Curncy,-0.0281871546070171,-0.0294141355678757,0.135516224579086,0.0114171009159262,0,-0.0514791913113283,0,0,0.0272557865043234,0,0,-0.109842712479858,0,0,0.0133256004450943,-0.020393734114553,0,0,0,0.0317221853438647
SPX.Index,-0.0291420074875151,-0.00869044910941118,0.0673305383379859,-0.0463822044580805,0,0,0.0222165948399536,0,-0.012766894233393,0,-0.0592045526675974,0,0,-0.0210959517955415,0.0242434135971547,0,-0.0248835821768174,0,0,-0.104359360493563
VIX.Index,0.228866160561115,0,0.151502701038355,0,0,0,0.372801607425746,0.0301517167312292,0,0.597632580126173,-0.311638180773233,0,-0.760491925991259,0.0904027682376786,0.0524042533283168,-0.0932644842811632,0.142344241566194,0,-2.22815298675078,0
