,BTC,ETH,BNB,XRP,LNA,ADA,PDT,AVAX,DOGE,SHIB,NEAR,CRO,MATIC,LINK,BCH,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.168110595279617,0.342458324086247,-0.0660076163510962,0.0352975100146977,0,0,0,0.0493266873085018,0,0.0464165993324256,0.264548831594773,0,0,0.217141061398095,0,0.0917663712276646,0,0,-0.0592446739612873
ETH,0.334817852852275,0,0,-0.0816294037587538,0,0.0533904294927645,0,0,0,0,0,0.267427061474228,0,0.352530237287535,0.0173939728198057,0.010165400952117,0,0,0,0.0203342594448128
BNB,0,0,0,0.0804571402054293,0,0,0,0,0.102915558257508,0,0,0.285726891080929,0,0.213817796234576,0.108673296825238,-0.0691918906301853,0,0,0,0.00302601929216897
XRP,0,0,0.71463766550166,0,0,0.0363489979331317,0,0,0.180425512951532,0,0,0,0,0.183726253651198,0,-0.0307850760305737,0,0,0,0
LNA,0.163509827413016,0,0,-0.191468071343633,0,0.105391550311676,0,0.363961194559739,-0.0972780990685168,-0.250925861235384,-0.107864558598274,0,1.28083169239546,0,1.73472347597681e-18,0,0.131319624661537,0,0,-0.0519958236279007
ADA,0,0.24553607273961,0.342739610700189,0.0593645061894351,0,0,0,0,0.0646232698095751,0,0,0.0282288014837964,0,0.121243660032688,0.222908121991615,0.0492159854208058,0,0,0,0
PDT,0,0,0,0,0.165962310203013,0,0,0.915808253715347,0.0373155526356776,-0.0328591219065721,-0.197464680035392,0,0,0.052120372646394,-0.0315649047851836,0.021625695888477,0,0,0,-0.0418224309642294
AVAX,-0.0929052454172455,0.111046307518252,0.0469475677578476,-0.0234788205048935,0.0283589442262622,0,0.62931884494174,0,-0.122510433145847,0.170067747678792,0.214010059842751,0,0,0,0.132193841313017,-0.0474480559202688,0.0157453384735509,0,0,0
DOGE,0,0,0,0,0,0.679558922655899,0,0,0,0,0,0,0,0.248419923608293,0.115258305797622,0,0,0,0,-0.307287032992108
SHIB,0,0,0.124348525283742,-0.0949967216423293,-0.314264181816969,0.0128697359919631,0,0.455282564930888,0.0345015558323591,0,-0.0854485441441313,0,0.757337586664516,0,-0.0114770237190288,0.0276589527496176,0,0,0,-0.0345571581171118
NEAR,0,0,0.145812954234581,1.73472347597681e-18,-0.0265668289552208,-0.0292098257279188,-0.425557614040007,1.87456845690709,0.0053145102147604,0,0,0.0689272681901352,0,0,-0.280966678503777,-0.00769028343116442,0.0262857809259476,0,0,-0.056872409179883
CRO,0.103447049687692,0.570358427614277,0.0749038663152711,0,0,0.227379736773944,-0.0437750457203965,0,0,0,0.000552601675663604,0,0,0,0,0,0.0574370049790422,0,0,0
MATIC,0,0.0225436870601097,0,0.0493882751805197,0.305607051396582,0.0422553621920776,0.0122533980901095,0.20866426670299,0.0314910547054879,0.234164366428548,-0.0412138061660813,-0.0893007646898405,0,0,4.33680868994202e-19,0,0,0,-0.00864118505573169,0
LINK,0,0.536073555839865,0,0.309446609570313,0,0,0,0,0.0723699382291549,0,0,0.0346956476753297,0,0,0.190776294439051,0.120920003040994,0.0841759467198877,0,0,0.0366888713449149
BCH,0.37324661841485,-0.0817316474640966,0,0.00382264784190918,0,-0.282613648296194,0,0,0.0681784398194882,0,0,0,0,0.66129920186953,0,0.0476702622624592,-0.166387651830492,0,-0.21021564519486,-0.178202720037163
BV010082.Index,0,-0.0434476457741041,0,-0.303171186558676,0.305717405516728,0.395563033392624,-0.654178524733337,-0.117600027077965,-0.0339211847085223,0.685748850211621,0,0,0,0,-0.351576219557068,0,-0.149965544409522,0,-0.653092250456284,-0.431109217621724
CVIX.Index,0.19242298219896,0,0.502793279295818,-0.231107810751087,0,0,0.0301881675131947,0,0.0385880353236796,0,0,0,0,0,-0.649161983944228,-0.122149162048279,0,0,0,0.0769957766831993
DXY.Curncy,0.0271946693805259,0,0.0303482073323188,0.0156616353845172,-0.0327365456806495,0,0,0,0.0527086338584138,-0.016996780101115,0.0240076046306658,-0.0369400591391351,0,-0.029851291368397,-0.0162867282517308,0.0182782501880986,0.0250025561892301,0,-0.208195888496352,0.0137395441019632
SPX.Index,0,0,0.190537329893169,-0.12499586259994,0,0.0201723580779839,0,-0.00451142127376208,0,0,0,-0.111214956689712,0,-3.46944695195361e-18,0.00781819084472163,-0.0213384612554587,0,0,0,-0.16788333710669
VIX.Index,0,0,0.206579242783548,-0.526209029757143,0.042992979339293,0.224458155968742,0,0.108661389787392,0,0.727377378826041,0,0,0,1.38777878078145e-17,-0.145853595530539,-0.120014093803387,-0.0298283511928201,0,-3.49038859284121,0
